Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2020,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.49911731863371,0.0,0.0
alonso,110.01016647684271,119.24488362026175,46.01754997087084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottas,0.0,0.0,53.25944312375303,99.84538355569376,56.09729541601914,0.0,126.3646378054402,74.81763078347383,93.93798101688091,102.15486181444535
gasly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.26296904747773,0.0,0.0
hamilton,27.57886757482637,0.0,138.8889142651974,147.73141332766428,0.0,169.20251759547816,150.47162943458994,90.67850253379476,146.13660663405716,138.28910704875375
kevin_magnussen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.349392852392963,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.53309075844279,0.0,68.81401358004439
max_verstappen,0.0,0.0,0.0,0.0,105.52389271296202,0.0,119.7591782941457,63.82950553977232,116.03989855403903,121.71793265024465
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perez,0.0,29.74883588931779,0.0,0.0,18.680166020114793,0.0,0.0,0.6981375140462682,0.0,57.31486423976099
ricciardo,0.0,0.0,85.44955879182753,0.0,62.42560274063018,81.74316613835221,95.10578779205183,15.91270235976592,0.0,45.11389717116591
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sainz,0.0,0.0,0.0,0.0,38.687019957165504,0.0,0.0,12.560108475682329,0.0,42.12468806382567
stroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vettel,41.066420537350744,76.74038459854708,57.98658661628497,114.5814563005168,100.73980503318184,165.46417629381165,123.67303941039171,60.297300135748266,0.0,0.0
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
