Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2020,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.53166714518534,0.0
alonso,87.43059055331409,93.18233675722102,69.24890260503179,43.74523702631973,0.0,29.63591077683342,0.0,0.0,0.0,61.582425892169105
bottas,0.0,0.0,28.61160867577933,8.256192054226638,0.0,100.6089783741396,77.02888243759188,0.0,129.92603753532873,0.0
gasly,0.0,0.0,0.0,0.0,0.0,0.0,51.520528842605366,0.0,0.0,2.7184207186930873
hamilton,117.09229920383807,128.90322634831395,65.82444075097756,49.20232389183159,137.52218764649564,99.65053580017923,137.26076475912586,173.12401527564603,138.52326782484644,94.38806368707465
kevin_magnussen,0.0,0.0,-21.527219419227862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.450510252217224
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.47268075350084,0.0,0.0
max_verstappen,0.0,0.0,0.0,37.2165533300673,81.71342631856244,102.18323474828465,0.0,151.565077852232,125.17239275282091,-19.709678358379897
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.08522526112584
perez,45.93496388169781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ricciardo,0.0,0.0,75.36289238570609,74.60349405282199,106.46408871636824,0.0,85.49391784122153,0.0,0.0,0.0
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.902736863364092
sainz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.20613903170044
stroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.58815065282833,0.0
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.46014468908884
vettel,105.46478404681726,114.90491266735275,29.376189302042615,118.8078353369811,104.92124637512853,116.08798754413365,116.66633877750795,97.135753727022,0.0,76.10224471634292
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
