Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2020,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.025806552252135,-10.685614832398239,0.0
alonso,50.51127740695548,54.54010035658922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703400813934276
bottas,0.0,-2.1266403702568235,50.60725991683781,67.12988180711305,89.20004942000703,109.38217661629668,67.45828655717474,103.06947904628103,26.812207994775072,29.0354016045211
gasly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.523193219983334,0.0
hamilton,72.74845427870235,25.796810089711027,95.10176366432258,120.74577246902612,127.8167084886211,114.57425734553246,83.45942469132136,65.17729980566874,31.90795889935109,0.0
kevin_magnussen,0.0,0.0,27.12446604150835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.891196918914881,-6.360313264129793
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.51713784913315,0.0,30.85973097070012
max_verstappen,0.0,0.0,0.0,0.0,86.11706630983335,0.0,68.34085942783555,26.44782873378136,0.0,0.0
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.63027190027342
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.633301759881206,28.023742341669244
ocon,0.0,0.0,0.0,0.0,0.0,31.44002397152684,16.738973639967078,0.0,12.733583047494573,2.6764320014782697
perez,69.1619653246254,16.315465597269515,25.900768905000316,39.09362327156443,73.65418410273142,27.753440939690268,17.245347484006828,19.694026651637916,10.400130488685706,33.85764433059588
ricciardo,18.44769521627278,24.3799789663642,39.80514080920314,0.0,95.74806340916032,68.43462377830969,0.0,51.81441243056313,26.58378657398161,34.056870041663075
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.894815799535225,3.0628076105829503
sainz,0.0,0.0,0.0,0.0,0.0,0.0,-6.8471937325771774,0.0,40.769289979724135,20.033050911415067
stroll,0.0,0.0,0.0,0.0,0.0,28.930883068552,0.0,0.0,30.420145616100832,8.336026721188572
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vettel,0.0,60.14215697334184,28.68829873761241,92.68325393290839,123.67030319672622,72.45333497077777,69.82943847444503,0.0,0.0,-10.218892479020752
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
