Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019,Season 2020,Season 2021
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.586671878101379,10.533050229369985,0.0
alonso,0.0,61.2626099911894,19.39664806057543,0.0,11.088789168747594,0.0,0.0,0.0,0.0,-0.8101922676816404
bottas,0.0,-16.31888057689371,47.12851781994526,38.535302447816925,8.060233418847229,44.651354694261855,34.02358931217198,72.69784146391903,46.3420776031894,-1.6081607884053182
gasly,0.0,0.0,0.0,0.0,0.0,0.0,-5.309334070055771,-15.368453240311899,5.054358184604926,3.871131991090853
hamilton,0.0,51.9956927343892,0.0,88.52168928081163,39.345410407554645,62.69731033499437,80.55538433678434,83.44644662869996,54.853752916921636,7.417726846828325
kevin_magnussen,0.0,0.0,24.377334321342843,0.0,0.0,-22.899172275860924,11.429270193756752,0.0,-34.80903737414829,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.206334655827273,1.4576699961717794
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2901199203861,-22.09640288214161,2.7586573781385835
max_verstappen,0.0,0.0,0.0,42.81455589945458,-4.984862485987431,0.0,62.2203325308105,0.0,38.79683609896475,8.663972633545402
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.651386093851887
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.482828632853336,-3.6334609008011705
ocon,0.0,0.0,0.0,0.0,0.0,4.372690329759574,18.403828922188993,0.0,12.995421370837313,3.2280631969545204
perez,0.0,4.657057870252548,16.062584613479515,45.85619665903989,27.091334142655562,0.0,25.986338092035066,7.314397231219839,-0.8899279841103792,-8.258141398656479
ricciardo,22.52207115803396,12.70697403852966,71.39275292117054,0.0,53.51150672033033,44.42127339751618,0.0,0.0,33.56613451317318,6.519087786338522
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.706754317960221
sainz,0.0,0.0,0.0,0.0,0.0,1.0121605331466776,0.0,0.0,0.0,1.1521598571419
stroll,0.0,0.0,0.0,0.0,0.0,-8.506227927231652,0.0,-14.786288532459,0.7542850518016224,-6.575997003873306
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1524513200149205
vettel,64.38438837259827,76.03098225611852,26.6828570873921,0.0,19.69532415067839,60.15476675838863,90.72427340548649,60.76150987196528,-21.59402627300812,5.120171163621287
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
