Drivers,Season 2012,Season 2013,Season 2014,Season 2015,Season 2016,Season 2017,Season 2018,Season 2019
albon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alonso,63.665551282002106,146.47473403051842,26.5019635065539,0.0,0.0,0.0,0.0,0.0
bottas,0.0,0.0,15.53970955460549,89.75085735706583,84.16880829286143,76.96025654112871,107.92160024134614,80.17194028962707
gasly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamilton,82.31222318319014,143.79946838777843,0.0,140.4487053060493,143.39945188075995,102.28682082281448,88.96045182284698,144.3914246140459
kevin_magnussen,0.0,0.0,10.926864490488908,0.0,0.0,0.0,0.0,0.0
latifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leclerc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.55872578753525
max_verstappen,0.0,0.0,0.0,0.0,77.4529381787053,0.0,106.6049632026139,69.61369307532226
mick_schumacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocon,0.0,0.0,0.0,0.0,0.0,51.5975984802327,0.0,0.0
perez,75.68522672618501,0.0,0.0,0.0,0.0,51.18715853079522,0.0,0.0
ricciardo,3.6737617364241046,0.0,43.28641543318493,0.0,64.23924694069551,57.52927416770341,89.64357725088502,0.0
russell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sainz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsunoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vettel,73.56948984037872,163.7800925901669,37.005267801377244,83.00406236657764,140.3589660371815,63.07979166927222,117.51581910490671,145.96605816209163
zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
