Driver,bahrain,jeddah,albert_park,imola,miami,catalunya,monaco,baku,villeneuve,silverstone,red_bull_ring,ricard,hungaroring,spa,zandvoort,monza,marina_bay,suzuka,americas,rodriguez,interlagos,yas_marina
albon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,6,0,4,0,4
alonso,0,0,8,0,0,8,4,1,8,6,0,0,8,2,0,1,8,1,6,0,10,1
bottas,15,15,15,4,0,15,8,15,15,18,18,15,12,15,15,18,10,15,12,12,12,12
gasly,4,8,0,0,0,1,2,0,0,4,1,0,4,1,0,0,0,0,0,2,0,0
hamilton,25,25,25,15,0,25,25,18,25,25,25,25,25,25,18,25,18,25,25,18,25,25
kevin_magnussen,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
latifi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leclerc,1,12,4,18,0,6,0,2,6,8,8,10,6,6,0,8,2,0,2,6,4,2
max_verstappen,12,18,12,25,0,12,12,8,12,10,12,18,15,8,25,4,12,10,15,25,15,15
mick_schumacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
norris,6,2,0,12,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0
ocon,0,10,1,0,0,0,0,0,2,0,0,0,2,4,0,6,0,4,0,0,1,0
perez,8,0,2,6,0,2,10,12,4,0,10,6,0,10,10,10,6,8,8,10,6,6
ricciardo,10,6,10,8,0,10,15,10,10,15,6,8,10,12,0,12,15,12,10,8,8,10
russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sainz,2,4,6,10,0,4,6,6,0,2,4,4,1,0,2,0,4,2,4,1,2,8
stroll,0,1,0,2,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0
tsunoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
vettel,18,0,18,1,0,18,18,25,18,12,15,12,18,18,8,15,25,18,18,15,18,18
zhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
