Driver,bahrain,jeddah,albert_park,imola,miami,catalunya,monaco,baku,villeneuve,silverstone,red_bull_ring,ricard,hungaroring,spa,zandvoort,monza,marina_bay,suzuka,americas,rodriguez,interlagos,yas_marina
albon,89.10315934318118,0.0,0.0,7.598543506966627,0,71.04395854899155,27.213294757945366,0.0,0.0,63.52510095382405,0.0,0.0,35.79293136014953,103.39678117183692,0.0,77.5867094390968,33.7418530460598,79.54221205321109,55.69172267943639,102.02111011948078,16.987206609240882,207.15639624179082
alonso,71.67686723139893,0.0,190.42441125345772,-15.106234460809018,0,215.30814575265643,260.3091166438801,73.41070678612834,231.55461216809846,182.1442536341977,58.47814759197921,40.28671899438106,329.28376522685187,193.6600832882872,0.0,152.25319207664356,284.760054265063,40.550670442150036,228.861666780081,0.0,237.09537014704347,159.52823331570582
bottas,453.832655589244,85.69714374885318,364.1905389387783,80.79993639658154,0,685.2631616296244,277.8712711135766,277.05271960016825,529.9659306725456,534.1367281188346,608.6783004301174,274.31946659656126,349.57006012123355,516.0958754119906,126.95618798177131,619.542243477861,285.31223326353853,493.4605577912907,490.8346360683445,389.8971351819765,340.75925059198016,594.4800129900461
gasly,134.49944434803314,63.27738321432814,0.0,-28.781453536772883,0,88.51015040261105,229.81120884214377,46.22460752717521,0.0,180.2544689878824,59.1235473023008,41.13155701044589,103.26274420157338,152.6242505936655,0.0,69.48893626121254,23.46664680940202,0.0,0.0,74.7054169560382,14.429883159851212,113.27132751355713
hamilton,778.0884624536653,112.60026687714762,654.9494315102041,192.5346994565226,0,1088.833158484016,793.8412918195559,363.69656128949777,915.717513240756,901.3033907281733,791.178702679456,369.4549991652915,1129.7768504958976,703.0279463930266,175.53634681908488,789.7884829303314,528.1322485609586,778.1651331495431,1012.2213550708321,640.1615537306132,723.226151216113,943.3573888116837
kevin_magnussen,33.59136516882333,0.0,-51.403463940162844,0.0,0,67.5141990431113,65.66865895631251,44.47249757811125,11.073527514019727,41.03740647374583,40.688661647439964,41.741676678473766,-6.827715879979005,93.14406895945038,0.0,36.35399630006811,-8.31295073646589,19.76404023745442,32.6069553690686,0.0,24.995591482304953,7.510592350552443
latifi,0.0,12.421980552999326,0.0,34.04613864339749,0,0.0,0.0,30.353807650108685,0.0,20.986819267469194,28.975656268997724,0.0,0.8677532993726891,69.25652938101898,0.0,50.95769716568671,0.0,0.0,0.0,0.0,0.0,0.0
leclerc,94.41826150757936,70.31622753367563,64.86798066273609,224.1910501028364,0,178.83580163835282,0.0,128.58336661466527,156.26144185086642,238.94435703476697,228.86078038188538,140.4556316967077,113.00741280634416,197.06946079319053,0.0,179.86238502401244,52.83360457552649,0.0,161.9114964348172,173.79118265549872,127.07190962631108,177.0353857822796
max_verstappen,272.36370431792824,105.65938249180454,312.2035972630671,234.62174880584786,0,614.5203297995237,402.01951266500544,143.3797637128896,305.8005059678922,338.40576061623847,582.2049567235852,331.7114803611261,474.647509883963,307.0545146062749,200.40973234803195,165.53963037194973,309.77962048437644,355.0070484421908,549.3771698298974,773.0610695954485,446.8743384787947,675.8140103607153
mick_schumacher,0.0,0.0,0.0,0.0,0,0.0,0.0,-0.1546399291915186,0.0,0.0,0.0,0.0,0.0,45.182532622552365,0.0,-17.3349045048322,0.0,0.0,0.0,0.0,0.0,0.0
norris,135.21699995521118,56.754542329769144,0.0,173.3112528436279,0,0.0,125.97692397885021,68.65816231714828,0.0,156.10209708082152,90.19182449883655,53.894281078275704,0.0,98.84927645542285,0.0,128.94291188440477,28.5501339386663,0.0,91.89730562305819,0.0,-0.8391171877456357,106.79482097501392
ocon,65.36370985461053,69.83861841110823,8.87323218046465,-14.542553000212402,0,0.0,118.2843703459935,51.20764638947646,68.94739525564124,127.26229495640594,51.19921909173213,0.0,97.40552749718874,195.44692767972055,0.0,174.28405707324862,23.90587980326249,76.58258856870887,64.15400737990618,0.0,30.950290875843432,98.3628933595251
perez,150.5817065159399,0.0,19.024409232910273,131.93557654227283,0,115.23684991859908,324.20578307891634,224.0101828512005,137.4593894679026,82.07903348134046,238.86095818013217,108.81407437461216,13.636818348093065,331.97394453086815,0.0,417.7835129692938,160.38099788638115,147.91834845986202,258.4185035053273,243.39777918376717,223.60773323500104,219.12257765700758
ricciardo,268.5866123445809,61.589899384345834,241.26927282051614,135.2677243536598,0,474.8921103849608,531.1711073927471,151.20566476304634,303.5353307898979,461.00136184894177,220.6470638442584,128.72751036316004,336.59907134186597,440.0634400964488,0.0,424.4638688877046,473.66242015455447,432.28391637036475,367.52636570272887,202.74226710535413,224.2928392216403,389.38802865094914
russell,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,24.098622124834343,0.0,0.0,1.4160899009029562,57.54082137555666,0.0,61.42489341603921,0.0,0.0,0.0,0.0,-22.49294273519061,0.0
sainz,95.02932934974768,61.00699104158975,71.29399663640126,165.98893211090655,0,143.03961879803617,262.0335459581183,136.50922799989843,0.0,174.74718673832268,102.65047025867993,85.46215656755277,79.52689846104107,80.18195894251289,0.0,149.5881903400448,84.80042369790164,67.9847235900033,212.55588663688667,15.692497080558073,126.87769490547998,219.9279686838318
stroll,1.636321475930743,17.765430542859708,-10.879295342776587,50.80015977086539,0,0.0,0.0,135.26691764248278,0.0,111.213506597218,0.0,26.32202287828945,61.88827885008773,131.2107664494901,0.0,154.03106585080388,25.346802082966228,0.0,0.0,0.0,0.0,37.77502006677593
tsunoda,4.1592690266390395,0.0,0.0,-2.8773082347498016,0,0.0,0.0,40.285635622459395,0.0,29.380534075005123,0.0,0.0,4.863520042113215,45.68144880427212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.9489977154514
vettel,482.06782635619027,0.0,649.5144504276788,41.0588017740153,0,760.9457781431588,692.4408236822717,388.44728770402605,894.5901766019244,372.32958731154366,583.9012774884366,174.61503103078763,876.6650610244749,645.9024662588706,0.0,465.06206860083967,619.9088670220783,662.7300848658376,615.3206178646889,565.0013436540397,566.299472077681,681.0205747377341
zhou,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
