Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61
albon,1:53.830,1:49.682,1:49.080,1:49.219,1:50.088,1:48.853,1:49.484,1:49.035,1:49.470,1:50.032,1:49.657,1:49.529,1:49.268,1:49.563,1:48.851,1:49.305,1:49.224,1:49.606,1:49.985,1:57.257,2:06.361,1:46.649,1:47.639,1:46.214,1:46.922,1:48.646,1:49.473,1:47.400,1:48.141,1:47.691,1:48.009,1:48.331,1:49.981,1:49.999,1:47.333,2:09.286,2:29.780,2:37.194,2:47.889,2:45.113,1:49.442,1:47.617,1:47.175,2:07.955,2:42.355,2:44.895,2:48.322,1:48.985,1:47.459,2:08.561,2:42.766,1:47.492,1:46.238,1:45.996,1:45.856,1:46.236,1:45.654,1:45.418,1:45.260,1:46.268,1:46.311
bottas,1:52.860,1:49.999,1:48.632,1:49.175,1:49.254,1:49.755,1:49.203,1:49.356,1:49.326,1:50.269,1:49.709,1:49.568,1:49.179,1:49.236,1:49.107,1:49.063,1:49.179,1:48.889,1:50.591,1:47.432,1:47.638,1:55.530,2:07.381,1:45.290,1:48.519,1:48.676,1:48.274,1:48.329,1:47.734,1:47.676,1:48.370,1:47.886,1:50.776,1:49.092,1:47.130,2:07.573,2:30.341,2:38.962,2:46.250,2:47.090,1:49.539,1:47.186,1:47.100,2:07.211,2:43.531,2:43.184,2:50.300,1:48.648,1:47.347,2:08.371,2:43.089,1:47.201,1:45.565,1:45.785,1:45.385,1:45.015,1:47.709,1:43.534,1:45.522,1:44.994,1:45.271
gasly,1:59.586,1:50.833,1:50.643,1:50.032,1:49.757,1:49.258,1:49.001,1:49.857,1:49.540,1:50.081,1:49.147,1:49.429,1:49.994,1:49.375,1:49.493,1:48.961,1:49.264,1:49.805,1:47.417,1:48.929,1:47.882,1:48.303,1:49.191,1:48.480,1:48.558,1:48.628,1:48.483,1:48.379,1:48.653,1:50.558,1:49.431,1:58.850,2:09.000,1:46.004,1:47.389,2:14.409,2:30.009,2:22.625,2:48.753,2:38.135,1:51.165,1:49.383,1:48.622,2:12.289,2:37.702,2:44.058,2:43.580,1:49.111,1:46.753,2:11.690,2:39.765,1:47.522,1:46.848,1:46.446,1:46.069,1:46.474,1:45.930,1:45.769,1:45.978,1:45.784,1:46.154
giovinazzi,1:58.280,1:50.236,1:50.098,1:49.647,1:48.995,1:48.967,1:49.459,1:49.214,1:49.449,1:49.667,1:49.562,1:49.509,1:49.414,1:49.425,1:49.171,1:49.218,1:48.968,1:49.296,1:49.394,1:49.300,1:49.204,1:49.006,1:48.768,1:48.450,1:48.570,1:48.526,1:48.795,1:48.610,1:48.780,1:49.216,1:50.675,1:49.749,1:55.969,2:07.475,2:08.582,2:28.026,2:46.697,1:57.190,2:28.350,2:35.962,1:52.849,1:47.828,1:49.177,2:14.749,2:36.354,2:44.963,2:40.659,1:50.847,1:48.351,2:11.183,2:37.118,1:48.166,1:46.500,1:46.378,1:46.165,1:46.446,1:46.004,1:46.063,1:45.630,1:46.033,1:46.190
grosjean,2:03.877,1:52.223,1:51.898,1:50.719,1:49.688,1:50.008,1:49.918,1:49.644,1:49.706,1:50.288,1:51.098,1:51.095,1:49.685,1:49.631,1:49.592,1:49.265,1:49.829,1:51.333,1:51.779,1:50.152,1:50.181,1:54.177,2:00.493,2:10.044,1:47.058,1:46.965,1:47.060,1:47.210,1:47.330,1:48.383,1:49.706,1:49.051,1:49.273,1:48.614,1:59.645,3:02.277,2:29.906,1:59.423,1:53.587,2:33.851,1:52.231,1:48.225,1:48.949,2:14.969,2:36.618,2:45.031,2:40.199,1:51.319,1:49.834,2:09.031,2:36.424,1:49.982,1:46.294,1:46.274,1:46.460,1:47.082,1:47.678,1:47.563,1:47.572,1:48.451,1:53.255
hamilton,1:50.683,1:48.666,1:48.806,1:49.082,1:49.560,1:49.759,1:49.179,1:49.607,1:49.937,1:49.744,1:49.566,1:49.078,1:49.147,1:49.177,1:49.087,1:49.230,1:47.428,1:48.573,1:49.348,1:48.943,1:47.085,1:47.306,1:47.969,1:48.831,1:49.181,1:57.640,2:07.490,1:48.315,1:47.750,1:47.364,1:48.815,1:47.345,1:49.723,1:47.774,1:45.495,2:04.779,2:30.781,2:45.503,2:46.644,2:47.162,1:49.137,1:46.905,1:46.522,2:06.659,2:44.182,2:44.023,2:50.838,1:48.075,1:46.758,2:06.638,2:45.835,1:46.673,1:45.622,1:45.428,1:45.159,1:45.533,1:44.939,1:44.914,1:45.346,1:45.585,1:45.952
hulkenberg,2:04.660,2:08.475,1:47.992,1:47.539,1:48.645,1:48.564,1:49.516,1:48.495,1:48.037,1:48.215,1:49.767,1:50.933,1:49.888,1:49.500,1:49.536,1:49.409,1:49.572,1:51.310,1:48.190,1:49.360,1:48.201,1:47.328,1:50.671,1:47.648,1:47.695,1:47.738,1:48.413,1:48.069,1:48.175,1:48.233,1:48.770,1:48.849,1:48.891,1:50.773,1:49.218,2:15.770,2:45.679,2:19.644,2:47.561,2:37.829,1:51.282,1:49.149,1:48.912,2:13.048,2:36.726,2:44.815,2:42.645,1:49.525,1:46.993,2:12.120,2:38.808,1:47.440,1:47.220,1:46.464,1:46.010,1:46.407,1:45.883,1:46.058,1:45.765,1:45.934,1:46.423
kevin_magnussen,1:58.793,1:50.762,1:50.376,1:50.103,1:49.542,1:49.235,1:49.401,1:49.674,1:49.811,1:49.545,1:49.208,1:49.751,1:49.516,1:49.439,1:49.409,1:49.421,1:49.451,1:57.267,2:07.821,1:47.459,1:48.941,1:48.723,1:47.934,1:47.615,1:47.684,1:47.638,1:47.437,1:47.750,1:47.662,1:47.593,1:47.794,1:48.386,1:48.315,1:52.311,1:48.510,2:11.034,2:31.973,2:25.486,2:48.113,2:43.417,1:50.319,1:48.970,1:48.358,2:11.094,2:38.206,2:45.119,2:45.701,1:52.229,1:48.607,2:09.601,2:39.159,1:54.772,1:50.559,1:52.569,1:53.508,1:59.760,2:14.311,1:42.301,1:49.897,1:43.828,1:51.021
kubica,2:03.517,1:53.794,1:53.279,1:51.581,1:51.062,1:50.708,1:50.714,1:52.284,1:50.682,1:50.207,1:50.821,1:50.917,1:53.237,1:50.885,1:50.382,1:52.097,1:55.863,1:52.115,1:51.135,1:51.245,1:59.200,2:09.620,1:47.715,1:48.564,1:48.700,1:48.630,1:48.617,1:48.543,1:48.188,1:47.782,1:48.323,1:48.662,1:48.880,1:48.770,1:56.092,2:30.342,2:27.214,1:59.312,2:11.607,2:34.032,1:54.148,1:50.312,1:50.391,2:21.329,2:48.989,2:24.755,2:37.639,1:53.599,1:49.715,2:12.319,2:33.507,1:51.822,1:51.150,1:51.651,1:50.152,1:47.573,1:47.116,1:47.197,1:46.793,1:47.073,1:48.143
kvyat,2:00.864,1:51.077,1:50.636,1:50.338,1:49.875,1:49.650,1:49.195,1:49.650,1:49.604,1:54.629,1:52.715,1:57.824,2:07.026,1:47.419,1:47.306,1:50.032,1:52.800,1:49.037,1:48.006,1:47.447,1:47.409,1:47.740,1:49.479,1:48.143,1:47.587,1:47.445,1:47.569,1:48.018,1:47.080,1:48.213,1:47.646,1:47.975,1:47.131,1:48.810,1:48.542,2:18.926,2:51.388,2:04.869,2:47.606,2:36.486,1:51.727,1:48.740,1:49.253,2:13.694,2:36.876,2:45.225,2:41.072,1:52.044,1:50.276,2:14.796,2:33.530,1:52.402,1:50.779,1:52.416,1:47.724,1:45.707,1:44.371,1:45.845,1:47.056,1:46.371,1:48.749
