Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56
albon,1:49.520,2:10.508,1:40.155,1:40.377,1:40.398,1:41.410,1:41.781,1:43.037,1:41.830,1:42.007,1:44.069,1:42.601,1:43.552,1:43.271,1:41.765,1:42.230,1:42.384,1:42.371,1:42.802,1:43.470,2:00.052,1:40.437,1:39.593,1:40.225,1:39.204,1:39.720,1:41.114,1:40.200,1:39.790,1:40.470,1:40.303,1:39.752,1:40.139,1:40.598,1:40.407,1:41.209,1:40.103,1:40.503,1:40.614,1:40.639,1:58.858,1:38.029,1:38.912,1:38.634,1:39.306,1:38.574,1:38.939,1:38.481,1:39.957,1:39.932,1:39.935,1:40.340,1:40.543,1:39.445,1:38.955,1:40.241
bottas,1:40.317,1:41.436,1:40.986,1:40.789,1:40.429,1:40.847,1:41.578,1:41.390,1:42.044,1:40.988,1:41.535,1:41.354,1:41.069,1:41.054,1:59.238,1:39.201,1:38.943,1:38.969,1:38.916,1:40.135,1:39.927,1:40.284,1:40.401,1:40.454,1:40.094,1:40.136,1:39.770,1:39.957,1:39.618,1:40.311,1:40.312,1:40.325,1:41.418,1:41.179,1:40.319,1:59.268,1:36.957,1:38.668,1:39.578,1:38.106,1:38.814,1:39.183,1:38.606,1:38.691,1:38.680,1:39.097,1:38.637,1:38.456,1:38.566,1:39.667,1:40.412,1:39.216,1:39.393,1:39.054,1:40.530,1:40.351
gasly,1:47.505,1:44.253,1:43.246,1:42.794,1:42.481,1:42.402,1:43.118,1:43.406,1:43.190,1:43.390,1:43.658,1:43.363,1:43.042,1:42.958,1:43.024,1:43.061,1:43.213,1:43.566,1:43.938,2:03.185,1:41.569,1:41.466,1:41.440,1:41.722,1:41.128,1:41.589,1:41.487,1:42.536,1:41.134,1:41.250,1:40.850,1:41.728,1:41.108,1:40.987,1:41.419,1:42.313,1:41.117,1:41.084,1:41.003,1:41.149,1:41.238,1:41.424,1:42.374,1:41.532,1:42.002,1:41.598,1:41.275,1:41.681,1:42.854,1:43.290,1:44.887,1:45.374,1:49.160,2:15.518,,
giovinazzi,1:52.013,1:44.924,1:44.021,1:43.864,1:43.877,1:43.713,1:44.492,1:43.994,1:43.858,1:44.200,1:45.565,1:44.838,1:44.651,1:44.428,1:44.551,1:44.295,1:45.183,2:02.799,1:41.163,1:42.198,1:44.009,1:41.585,1:41.798,1:41.609,1:41.719,1:42.012,1:42.039,1:42.373,1:41.945,1:41.776,1:41.765,1:42.066,1:44.320,1:41.923,1:41.880,1:42.563,1:43.200,1:44.303,1:43.330,1:59.375,1:39.964,1:40.561,1:40.852,1:40.618,1:41.263,1:40.589,1:40.739,1:40.860,1:40.798,1:40.583,1:40.802,1:40.934,1:40.746,1:41.402,1:44.515,
grosjean,1:50.931,1:44.594,1:43.884,1:44.728,1:43.759,1:43.218,1:44.157,1:43.737,1:44.083,1:44.421,1:44.367,1:43.789,1:45.021,1:45.248,1:44.336,1:43.906,1:43.519,1:43.337,1:44.767,1:46.845,1:44.760,1:45.700,1:45.555,1:47.845,2:05.256,1:41.770,1:42.120,1:41.432,1:43.942,1:41.905,1:41.963,1:42.228,1:42.107,1:43.931,1:42.189,1:42.060,1:42.047,1:41.957,1:41.687,1:42.274,1:41.696,1:42.905,1:41.840,1:41.731,1:41.729,1:41.735,1:41.669,1:41.360,1:41.652,1:43.900,1:41.565,1:41.270,1:41.402,1:42.931,1:44.125,
hamilton,1:43.228,1:41.043,1:41.259,1:41.231,1:40.861,1:40.945,1:41.368,1:41.367,1:41.614,1:41.321,1:41.761,1:41.578,1:41.424,1:40.350,1:40.647,1:41.193,1:41.183,1:40.863,1:40.986,1:41.899,1:41.446,1:41.898,1:41.616,1:43.383,1:59.288,1:38.446,1:38.998,1:39.347,1:39.448,1:39.335,1:39.418,1:39.189,1:39.303,1:39.497,1:39.361,1:39.763,1:40.096,1:39.234,1:39.222,1:39.162,1:39.106,1:39.213,1:39.037,1:39.239,1:38.968,1:39.689,1:39.289,1:38.842,1:38.791,1:39.992,1:40.978,1:41.081,1:40.437,1:40.137,1:40.928,1:40.503
hulkenberg,1:50.500,1:44.332,1:43.768,1:43.395,1:43.268,1:43.410,1:43.341,1:43.865,1:43.093,1:43.262,1:43.463,1:43.207,1:43.307,1:42.953,1:42.952,1:43.272,1:43.091,1:43.124,1:42.476,1:42.951,1:42.797,1:43.954,1:43.168,1:44.548,1:44.574,1:44.190,1:46.077,2:01.317,1:40.861,1:41.295,1:40.454,1:39.949,1:39.825,1:40.014,1:40.288,1:40.670,1:40.037,1:40.195,1:40.137,1:58.194,1:41.514,1:39.346,1:39.629,1:41.390,1:41.963,1:39.691,1:38.437,1:39.519,1:39.671,1:39.747,1:39.484,1:40.829,1:40.206,1:40.154,1:40.961,
kevin_magnussen,1:48.938,1:44.529,1:43.617,1:43.394,1:43.230,1:43.127,1:43.773,1:44.145,1:45.470,1:45.899,1:44.700,1:44.042,1:43.938,1:45.310,1:44.965,1:43.916,1:43.759,1:43.621,2:02.895,1:42.776,1:41.938,1:42.134,1:42.033,1:41.876,1:42.137,1:42.051,1:42.765,1:41.997,1:42.927,1:42.340,1:42.074,1:42.155,1:44.336,1:41.807,1:41.590,1:41.997,1:41.824,1:44.087,1:42.923,1:44.926,2:01.931,1:40.347,1:41.571,1:41.396,1:41.033,1:41.328,1:41.540,1:41.509,1:41.818,1:41.573,1:42.942,1:40.972,,,,
kubica,1:53.845,1:46.284,1:45.047,1:44.695,1:44.602,1:45.802,1:46.033,1:46.003,1:46.506,1:46.208,1:46.476,2:05.768,1:43.931,1:44.991,1:45.375,1:45.076,1:44.748,1:46.101,1:46.416,1:46.516,1:44.394,1:43.830,1:44.071,1:44.944,1:44.761,1:44.018,1:44.429,1:44.169,1:46.399,1:44.728,1:49.923,,,,,,,,,,,,,,,,,,,,,,,,,
kvyat,1:51.478,1:44.754,1:43.710,1:43.300,1:43.204,1:43.288,1:43.136,1:43.754,1:44.088,1:43.266,1:43.550,1:43.167,1:43.237,1:43.057,1:43.146,1:42.893,1:43.274,1:43.309,1:43.245,1:43.954,1:45.721,2:04.783,1:41.601,1:40.785,1:40.548,1:40.950,1:41.309,1:41.839,1:42.706,1:41.197,1:40.921,1:40.783,1:40.667,1:40.617,1:40.676,1:42.041,1:41.189,1:41.392,1:43.211,1:59.223,1:38.969,1:39.710,1:40.340,1:41.936,1:40.686,1:40.096,1:39.582,1:39.528,1:39.323,1:39.682,1:39.640,1:40.351,1:40.553,1:40.477,1:42.578,
