Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55
albon,1:49.439,1:44.511,1:43.826,1:43.881,1:44.110,1:44.042,1:44.604,1:43.942,1:44.231,1:44.308,1:44.184,1:43.989,1:45.896,2:03.857,1:43.891,1:44.525,1:45.282,1:44.985,1:43.557,1:43.527,1:43.258,1:43.242,1:43.211,1:43.769,1:43.251,1:42.864,1:43.279,1:42.721,1:43.223,1:42.670,1:42.788,1:43.197,1:42.783,1:43.257,1:43.113,1:42.679,1:42.779,1:42.883,1:44.564,1:43.344,1:43.071,1:42.845,1:42.272,1:42.760,1:42.629,1:42.343,1:42.454,1:42.357,1:42.219,1:42.496,1:42.376,1:42.462,1:44.788,1:43.028,1:43.358
bottas,1:55.218,1:47.442,1:46.669,1:46.766,1:44.794,1:45.256,1:44.608,1:44.237,1:44.742,1:45.173,1:45.062,1:44.139,1:43.950,1:44.362,1:44.608,1:44.406,1:45.423,1:43.384,1:43.312,1:42.747,1:42.608,1:42.809,1:42.590,1:42.753,1:42.518,1:42.904,1:42.828,1:42.912,1:44.574,2:01.245,1:39.715,1:40.953,1:41.269,1:41.403,1:42.600,1:41.693,1:42.014,1:42.780,1:41.785,1:42.305,1:42.246,1:41.706,1:42.048,1:41.409,1:40.852,1:40.865,1:41.009,1:40.844,1:40.517,1:40.864,1:41.390,1:41.054,1:41.553,1:41.001,1:42.180
gasly,2:04.421,3:01.543,1:44.794,1:46.761,1:50.264,1:45.844,1:47.400,1:45.217,1:45.226,1:45.253,1:45.038,1:45.142,1:45.971,1:44.726,1:44.837,1:44.866,1:44.948,1:44.422,1:44.604,1:44.427,1:44.413,1:46.524,1:46.863,1:46.202,1:44.889,1:44.631,1:44.194,1:44.161,1:44.176,1:45.412,1:44.254,1:43.827,1:44.428,1:44.120,1:43.941,1:43.805,1:43.680,1:46.152,1:44.226,1:44.066,1:44.720,1:45.016,1:45.526,1:45.596,1:45.446,1:44.633,1:43.905,1:45.470,1:43.719,1:42.820,1:42.814,1:45.254,1:42.414,,
giovinazzi,1:54.477,1:46.760,1:46.322,1:46.218,1:46.383,1:47.294,1:46.534,1:48.143,2:05.855,1:45.032,1:44.940,1:44.983,1:45.292,1:45.579,1:46.045,1:46.520,1:46.515,1:46.181,1:45.575,1:46.235,1:46.313,1:47.815,1:47.720,1:45.274,1:45.348,1:46.816,2:05.589,1:43.256,1:43.297,1:43.628,1:43.945,1:44.256,1:43.907,1:43.963,1:43.642,1:43.793,1:44.100,1:43.957,1:44.124,1:44.083,1:45.531,1:44.516,1:45.524,1:44.322,1:46.175,1:44.527,1:46.148,1:44.370,1:44.172,1:44.268,1:44.021,1:44.332,1:44.305,1:44.562,
grosjean,1:56.282,1:48.297,1:47.533,1:47.210,1:46.641,1:46.670,1:46.300,1:46.235,1:46.048,1:46.225,1:46.042,1:45.917,1:45.871,1:45.573,1:45.594,1:45.577,1:45.330,1:49.975,2:05.987,1:45.146,1:46.289,1:44.952,1:46.589,1:45.725,1:45.493,1:44.628,1:44.032,1:44.002,1:46.501,1:43.959,1:43.866,1:43.702,1:43.666,1:43.736,1:44.021,1:46.517,1:43.958,1:43.887,1:43.909,1:44.646,1:44.258,1:43.999,1:44.082,1:49.178,1:43.787,1:45.965,1:44.101,1:43.961,1:44.003,1:43.851,1:47.784,1:43.900,1:44.875,1:44.192,
hamilton,1:44.369,1:42.740,1:42.503,1:42.916,1:43.130,1:42.858,1:42.881,1:42.733,1:42.874,1:42.907,1:42.779,1:43.067,1:42.620,1:42.535,1:42.444,1:42.292,1:42.474,1:42.410,1:42.229,1:42.657,1:43.680,1:42.806,1:43.778,1:43.039,1:43.121,1:44.822,2:02.843,1:41.070,1:41.744,1:41.709,1:41.569,1:41.450,1:41.581,1:42.306,1:41.845,1:42.015,1:42.024,1:42.941,1:41.580,1:41.636,1:41.976,1:42.153,1:41.305,1:41.219,1:40.008,1:41.653,1:41.525,1:41.507,1:41.548,1:41.625,1:41.969,1:42.093,1:39.283,1:42.008,1:42.866
hulkenberg,1:52.942,1:45.616,1:45.595,1:45.544,1:45.338,1:45.793,1:45.319,1:45.663,1:45.492,1:45.371,1:45.278,1:44.753,1:44.202,1:44.614,1:44.655,1:44.474,1:45.441,1:47.732,2:04.370,1:45.263,1:44.718,1:45.005,1:44.484,1:44.243,1:44.603,1:44.800,1:44.380,1:44.400,1:44.317,1:44.324,1:44.358,1:44.527,1:43.961,1:44.281,1:43.993,1:44.225,1:43.990,1:43.743,1:43.807,1:43.894,1:43.483,1:43.683,1:45.203,1:43.655,1:44.893,1:45.415,1:43.631,1:45.323,1:43.439,1:43.778,1:43.412,1:43.274,1:43.409,1:46.988,
kevin_magnussen,1:52.555,1:47.299,1:45.952,1:46.112,1:46.348,1:47.405,1:47.063,1:46.228,1:46.206,1:46.058,1:45.844,1:45.751,1:45.693,1:45.486,1:45.425,1:45.486,1:45.716,1:45.622,1:45.456,1:47.475,2:03.691,1:43.790,1:43.929,1:44.394,1:43.883,1:43.864,1:43.985,1:44.064,1:44.080,1:44.083,1:44.146,1:44.148,1:44.176,1:44.353,1:44.214,1:44.544,1:44.876,1:46.753,1:44.926,1:44.701,1:44.366,1:45.781,1:45.240,1:44.349,1:44.227,1:45.289,1:44.092,1:44.128,1:44.318,1:45.938,1:45.141,1:44.056,1:44.230,1:44.560,
kubica,1:57.409,1:48.621,1:47.740,1:47.584,1:47.599,1:47.126,1:47.021,1:46.566,1:46.619,1:47.430,1:46.924,1:46.870,1:47.047,1:46.704,1:46.344,1:46.538,1:46.332,1:46.314,1:46.614,1:46.279,1:46.501,1:48.044,1:47.675,1:49.673,2:06.468,1:46.517,1:45.771,1:45.494,1:45.235,1:45.321,1:45.417,1:46.144,1:48.665,1:46.831,1:46.595,1:45.995,1:45.089,1:45.085,1:46.577,1:45.214,1:45.127,1:45.280,1:45.694,1:45.636,1:45.419,1:47.004,1:46.841,1:45.357,1:44.721,1:44.506,1:44.500,1:46.028,1:45.368,,
kvyat,1:55.917,1:48.069,1:47.238,1:46.754,1:46.950,1:45.771,1:45.579,1:45.908,1:45.494,1:45.769,1:45.907,1:45.952,1:45.784,1:45.475,1:45.543,1:45.401,1:45.691,1:45.496,1:45.411,1:45.145,1:43.768,1:44.516,1:44.188,1:44.020,1:43.933,1:43.688,1:43.661,1:43.587,1:43.529,1:43.484,1:43.648,1:43.579,1:43.294,1:43.415,1:43.559,1:44.235,1:45.941,1:43.424,1:43.607,1:45.782,2:03.697,1:42.222,1:42.578,1:42.404,1:42.575,1:43.362,1:43.653,1:43.069,1:45.030,1:43.032,1:43.109,1:43.372,1:43.322,1:43.699,
leclerc,1:46.050,1:43.061,1:43.272,1:43.155,1:43.501,1:43.764,1:43.320,1:43.172,1:43.109,1:43.353,1:43.315,1:45.143,2:03.596,1:41.938,1:41.997,1:42.208,1:43.395,1:42.973,1:42.758,1:42.998,1:42.794,1:43.117,1:42.914,1:42.951,1:43.443,1:42.824,1:42.852,1:43.172,1:42.773,1:42.888,1:43.120,1:44.968,1:43.466,1:42.970,1:42.759,1:43.052,1:43.459,1:44.980,2:00.803,1:40.514,1:41.022,1:40.999,1:40.751,1:40.442,1:40.868,1:40.886,1:41.222,1:41.712,1:42.019,1:42.421,1:42.195,1:41.882,1:41.878,1:42.127,1:42.829
max_verstappen,1:47.616,1:43.281,1:43.245,1:43.308,1:43.506,1:43.799,1:43.256,1:43.206,1:43.303,1:43.442,1:43.404,1:43.252,1:43.010,1:42.876,1:43.057,1:42.834,1:43.060,1:43.168,1:43.166,1:43.010,1:43.024,1:43.190,1:43.063,1:43.259,1:45.216,2:02.305,1:42.898,1:41.651,1:41.701,1:41.897,1:42.521,1:42.598,1:41.983,1:41.694,1:42.286,1:42.561,1:41.776,1:41.555,1:41.541,1:41.778,1:41.824,1:41.915,1:41.755,1:42.046,1:41.955,1:41.674,1:41.592,1:41.273,1:41.775,1:41.333,1:41.774,1:41.743,1:41.849,1:41.564,1:41.119
norris,1:50.507,1:45.289,1:45.062,1:45.351,1:45.416,1:45.214,1:45.228,1:48.001,2:07.038,1:44.389,1:45.114,1:44.992,1:45.386,1:45.016,1:45.338,1:45.559,1:45.195,1:44.235,1:45.040,1:44.986,1:44.908,1:45.064,1:44.531,1:44.223,1:44.537,1:44.747,1:44.209,1:44.346,1:44.448,1:44.345,1:44.337,1:44.239,1:44.159,1:44.183,1:43.894,1:43.957,1:43.819,1:43.762,1:43.545,1:43.578,1:43.403,1:43.574,1:43.940,1:44.715,1:43.849,1:43.651,1:43.377,1:43.199,1:43.308,1:43.026,1:43.165,1:45.803,1:43.963,1:45.819,
perez,1:53.503,1:46.965,1:46.092,1:46.181,1:46.270,1:45.287,1:44.984,1:44.941,1:44.922,1:44.931,1:45.307,1:46.473,1:46.191,1:45.418,1:44.876,1:44.740,1:44.869,1:44.969,1:44.638,1:44.718,1:44.637,1:44.368,1:44.557,1:44.610,1:44.433,1:44.574,1:44.276,1:44.330,1:44.397,1:44.393,1:44.127,1:44.379,1:44.343,1:44.341,1:44.890,1:44.736,1:46.690,2:02.707,1:42.639,1:43.135,1:43.188,1:44.196,1:42.846,1:43.362,1:42.654,1:42.763,1:42.901,1:43.271,1:43.144,1:43.085,1:43.055,1:45.518,1:44.173,1:43.625,
raikkonen,1:54.906,1:48.246,1:47.032,1:46.667,1:46.663,1:45.630,1:45.745,1:46.175,1:45.471,1:45.992,1:45.972,1:45.811,1:45.634,1:45.607,1:45.501,1:45.365,1:45.762,1:45.364,1:45.547,1:45.222,1:46.397,1:47.583,2:04.375,1:43.214,1:43.142,1:43.583,1:43.356,1:44.493,1:43.555,1:43.631,1:43.476,1:43.672,1:43.920,1:44.091,1:44.174,1:44.366,1:45.727,1:43.371,1:44.139,1:43.863,1:43.686,1:43.325,1:43.403,1:45.900,1:43.216,1:45.176,1:43.561,1:43.222,1:44.116,1:43.430,1:43.609,1:43.391,1:44.614,1:43.406,
ricciardo,1:52.043,1:45.722,1:45.428,1:45.441,1:45.492,1:45.689,1:45.358,1:45.560,1:45.420,1:45.508,1:47.170,2:04.267,1:44.992,1:44.858,1:46.835,1:45.617,1:44.957,1:45.531,1:44.969,1:45.017,1:44.624,1:44.747,1:44.616,1:44.605,1:44.521,1:44.393,1:44.458,1:44.385,1:44.546,1:44.163,1:44.461,1:44.272,1:44.142,1:44.158,1:44.389,1:44.365,1:44.450,1:43.850,1:43.738,1:45.302,1:45.198,1:45.502,2:01.870,1:41.676,1:42.198,1:41.399,1:41.359,1:41.741,1:41.290,1:41.627,1:41.190,1:41.777,1:42.752,1:44.099,
russell,1:57.917,1:48.754,1:47.893,1:47.818,1:47.438,1:47.339,1:47.227,1:46.609,1:47.686,1:46.726,1:46.717,1:46.548,1:46.958,1:46.673,1:46.627,1:46.765,1:46.219,1:46.254,1:48.326,1:46.385,1:46.488,1:48.412,1:47.236,1:46.116,1:45.510,1:47.187,1:45.710,1:46.750,1:45.543,1:45.446,1:48.521,1:47.796,2:05.668,1:44.917,1:43.973,1:44.346,1:44.384,1:44.347,1:44.353,1:43.914,1:46.846,1:44.207,1:43.987,1:44.265,1:43.907,1:43.838,1:43.400,1:43.426,1:43.579,1:43.074,1:43.192,1:43.187,1:43.089,1:44.006,
