Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63
albon,1:27.853,1:22.182,1:21.611,1:20.812,1:20.772,1:20.680,1:21.138,1:20.871,1:20.677,1:20.649,1:20.543,1:20.481,1:20.634,1:25.159,1:44.141,1:20.731,1:20.153,1:19.916,1:19.851,1:20.015,1:19.832,1:19.652,1:19.528,1:19.669,1:19.754,1:19.895,1:22.278,1:19.108,1:19.463,1:29.646,1:19.100,1:19.229,1:19.292,1:19.381,1:19.042,1:18.911,1:19.017,1:18.972,1:18.720,1:18.747,1:18.955,1:18.772,1:18.638,1:18.742,1:18.568,1:18.715,1:18.669,1:18.717,1:18.769,1:18.448,1:41.125,1:42.134,1:36.571,2:10.120,2:13.967,2:07.940,2:10.374,1:32.654,1:24.803,1:42.008,1:16.495,1:20.248,1:16.177
bottas,1:21.722,1:20.550,1:19.911,1:19.762,1:19.518,1:19.618,1:19.417,1:19.563,1:19.553,1:19.481,1:19.069,1:19.233,1:19.360,1:19.209,1:18.944,1:18.814,1:18.799,1:18.880,1:22.995,1:42.512,1:18.862,1:18.624,1:18.708,1:18.639,1:18.471,1:18.600,1:18.533,1:18.627,1:19.152,1:27.803,1:18.887,1:18.895,1:18.781,1:18.763,1:18.737,1:19.087,1:18.957,1:18.554,1:18.893,1:18.906,1:18.493,1:19.983,1:20.483,1:19.076,1:19.055,1:18.913,1:18.936,1:18.810,1:18.925,1:19.713,1:36.178,2:01.809,1:50.151,2:18.869,2:12.021,2:09.668,2:11.684,1:17.915,1:17.311,1:16.728,1:17.529,1:18.672,1:15.902
gasly,1:26.537,1:21.793,1:20.835,1:20.837,1:20.403,1:20.816,1:20.446,1:25.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giovinazzi,1:31.960,1:23.529,1:22.095,1:21.863,1:21.702,1:21.310,1:21.192,1:21.278,1:21.331,1:26.022,1:43.945,1:20.289,1:20.083,1:20.149,1:20.245,1:20.079,1:20.162,1:20.173,1:20.431,1:20.564,1:21.548,1:20.008,1:20.054,1:19.939,1:20.090,1:19.760,1:21.441,1:20.284,1:26.987,1:22.975,1:19.371,1:19.271,1:19.231,1:19.329,1:19.421,1:19.221,1:19.000,1:18.980,1:19.158,1:19.470,1:19.164,1:19.082,1:19.239,1:21.555,1:19.134,1:19.129,1:19.085,1:18.952,1:19.064,1:23.627,2:04.752,2:09.016,2:16.883,2:03.712,1:29.101,1:27.871,1:46.158,1:22.587,1:20.092,1:19.259,1:18.794,1:18.991,1:19.641
grosjean,1:33.691,1:23.480,1:22.688,1:21.598,1:21.781,1:21.883,1:20.857,1:21.402,1:26.457,1:44.030,1:20.443,1:19.976,1:19.944,1:20.164,1:20.228,1:20.120,1:20.093,1:20.107,1:20.212,1:20.301,1:21.284,1:20.263,1:20.220,1:20.546,1:20.003,1:21.796,1:19.755,1:20.374,1:26.905,1:23.095,1:19.553,1:19.309,1:19.874,1:19.451,1:19.896,1:19.680,1:19.546,1:19.356,1:19.583,1:21.415,1:19.411,1:19.240,1:19.254,1:19.740,1:18.822,1:19.375,1:18.988,1:21.430,1:18.972,1:31.491,2:03.316,1:57.796,2:17.327,2:03.208,1:29.476,1:27.253,1:43.650,1:23.042,1:20.613,1:19.528,1:19.039,1:19.000,1:19.035
hamilton,1:24.142,1:20.226,1:19.664,1:19.891,1:20.183,1:19.842,1:19.651,1:19.443,1:19.711,1:19.634,1:19.136,1:19.504,1:19.155,1:19.207,1:19.128,1:19.186,1:19.133,1:19.017,1:18.477,1:18.544,1:18.416,1:18.367,1:17.830,1:18.026,1:18.546,1:18.671,1:18.302,1:18.402,1:17.502,1:28.075,1:43.092,1:18.326,1:18.073,1:18.005,1:18.286,1:17.804,1:17.941,1:17.848,1:18.178,1:18.232,1:17.901,1:18.211,1:18.528,1:17.706,1:17.963,1:18.007,1:17.853,1:17.279,1:17.725,1:17.744,1:18.062,2:19.876,2:12.185,2:17.944,2:13.381,2:10.241,2:12.123,1:17.498,1:16.644,1:17.060,1:16.305,1:15.914,1:15.484
kevin_magnussen,1:52.258,1:21.583,1:23.031,1:20.710,1:20.617,1:20.687,1:20.533,1:21.044,1:20.338,1:20.201,1:20.554,1:20.267,1:20.427,1:20.436,1:20.465,1:20.226,1:20.185,1:20.059,1:19.965,1:20.174,1:20.078,1:20.156,1:19.908,1:19.985,1:20.477,1:20.380,1:28.653,1:44.811,1:29.256,1:22.941,1:23.632,1:19.586,1:19.810,1:19.602,1:19.597,1:20.608,1:20.057,1:19.643,1:19.547,1:19.508,1:19.575,1:19.595,1:19.487,1:19.576,1:19.273,1:19.525,1:25.945,,,,,,,,,,,,,,,,
kvyat,1:28.537,1:22.177,1:21.805,1:20.898,1:20.950,1:20.678,1:20.864,1:20.888,1:20.828,1:20.710,1:20.341,1:20.458,1:20.659,1:25.002,1:44.736,1:20.057,1:20.421,1:19.921,1:19.851,1:20.098,1:19.920,1:19.714,1:19.704,1:19.528,1:19.674,1:19.858,1:21.769,1:19.583,1:19.691,1:32.126,1:19.450,1:19.115,1:19.054,1:19.055,1:18.934,1:18.720,1:18.611,1:18.751,1:18.631,1:18.580,1:18.549,1:18.508,1:18.658,1:18.543,1:18.524,1:18.678,1:18.678,1:18.623,1:18.723,1:18.411,1:45.562,1:59.353,1:29.686,1:58.101,2:12.614,2:08.425,2:07.565,1:19.662,1:19.028,1:17.909,1:17.859,1:17.666,1:17.899
latifi,1:34.416,1:23.398,1:22.929,1:21.606,1:21.702,1:21.959,1:21.255,1:21.148,1:21.432,1:20.888,1:21.157,1:21.041,1:20.638,1:20.624,1:20.720,1:20.453,1:20.687,1:20.335,1:20.323,1:20.085,1:19.919,1:19.780,1:19.724,1:19.714,1:20.461,1:19.718,1:19.514,1:19.797,1:19.907,1:29.744,1:19.702,1:19.666,1:19.342,1:23.957,1:42.290,1:19.167,1:18.719,1:18.797,1:19.103,1:20.718,1:19.167,1:18.998,1:20.366,1:19.254,1:19.046,1:19.127,1:18.831,1:19.320,1:18.955,1:23.662,2:05.118,2:08.656,2:17.104,2:04.764,1:29.649,1:26.765,1:44.527,1:22.972,1:20.447,1:19.356,1:18.965,1:18.898,1:19.083
leclerc,1:27.074,1:22.058,1:21.592,1:20.850,1:20.815,1:20.638,1:20.753,1:20.639,1:20.710,1:20.438,1:20.403,1:20.494,1:24.915,1:44.016,1:21.189,1:20.770,1:20.186,1:20.005,1:20.201,1:19.937,1:19.714,1:19.867,1:19.407,1:19.471,1:19.943,1:20.284,1:20.792,1:19.350,1:19.748,1:29.709,1:19.269,1:19.167,1:19.062,1:19.202,1:19.028,1:18.817,1:18.874,1:18.859,1:18.764,1:18.817,1:19.153,1:18.784,1:18.874,1:18.681,1:18.767,1:18.728,1:18.727,1:18.934,1:18.688,1:18.556,1:41.293,1:42.443,1:36.598,2:09.724,2:14.215,2:08.057,2:10.261,1:22.164,1:19.236,1:18.826,1:18.235,1:18.173,1:18.597
