Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57
albon,2:16.507,22:31.455,3:00.226,2:19.742,2:28.957,2:18.973,2:19.135,2:34.383,1:35.862,1:35.545,1:35.652,1:35.831,1:35.807,1:35.910,1:35.886,1:36.556,1:36.391,1:36.148,1:39.330,1:55.349,1:35.724,1:34.561,1:35.634,1:34.531,1:34.673,1:34.463,1:34.638,1:34.776,1:35.125,1:35.104,1:34.953,1:35.246,1:35.381,1:38.293,1:54.767,1:33.693,1:34.050,1:33.932,1:33.994,1:33.808,1:33.684,1:33.874,1:33.982,1:34.353,1:34.411,1:35.470,1:34.603,1:34.758,1:34.499,1:34.152,1:34.453,1:34.612,1:35.713,1:48.128,2:13.017,1:49.706,2:15.114
bottas,2:22.955,22:21.194,3:01.800,2:23.108,2:48.560,2:17.765,2:20.284,2:18.453,1:39.509,1:38.747,1:37.959,1:37.276,1:38.325,1:36.867,1:38.058,1:37.993,1:38.245,1:36.682,1:38.099,1:37.570,1:36.023,1:36.132,1:36.542,1:36.123,1:40.305,1:56.605,1:34.063,1:33.352,1:33.749,1:34.235,1:35.261,1:34.364,1:34.463,1:34.647,1:34.841,1:35.461,1:35.442,1:38.440,1:53.849,1:33.818,1:33.884,1:34.388,1:33.502,1:33.880,1:34.031,1:33.560,1:33.476,1:33.843,1:34.100,1:34.885,1:34.385,1:34.345,1:34.815,1:56.767,2:11.174,1:51.207,1:47.789
gasly,2:27.729,22:31.087,2:58.869,2:18.822,2:31.355,2:17.801,2:18.209,2:27.312,1:38.480,1:37.427,1:36.932,1:38.410,1:36.677,1:36.753,1:36.998,1:36.933,1:36.826,1:36.594,1:36.679,1:36.878,1:37.337,1:36.958,1:38.085,1:38.006,1:39.369,1:55.499,1:35.368,1:35.325,1:35.144,1:35.046,1:35.139,1:35.164,1:35.400,1:35.495,1:35.112,1:35.578,1:35.435,1:35.237,1:34.822,1:34.867,1:35.261,1:34.988,1:34.974,1:36.366,1:35.317,1:35.066,1:34.922,1:34.817,1:34.967,1:35.061,1:36.831,1:35.500,1:35.556,1:57.736,2:10.805,1:47.503,1:48.630
giovinazzi,2:43.748,22:30.039,2:54.564,2:17.289,2:33.142,2:17.741,2:20.933,2:17.039,1:39.418,1:39.061,1:38.016,1:37.941,1:37.814,1:38.422,1:38.363,1:38.852,1:38.318,1:38.361,1:39.346,1:43.572,1:55.016,1:34.536,1:35.166,1:35.420,1:35.839,1:36.966,1:37.105,1:36.078,1:36.732,1:37.067,1:37.287,1:36.722,1:36.904,1:35.913,1:36.940,1:36.354,1:36.850,1:37.263,1:37.200,1:36.540,1:36.599,1:37.282,1:36.865,1:38.125,1:38.002,1:36.552,1:37.885,1:37.017,1:37.348,1:38.118,1:37.319,1:37.322,1:49.156,2:29.402,1:45.931,2:14.889,
hamilton,2:07.777,22:30.326,3:02.690,2:24.304,2:27.673,2:20.062,2:18.867,2:36.107,1:33.733,1:34.357,1:34.490,1:34.464,1:34.883,1:34.785,1:34.824,1:34.838,1:35.096,1:34.929,1:37.767,1:54.337,1:34.948,1:34.165,1:33.337,1:34.154,1:33.753,1:34.030,1:33.616,1:33.672,1:33.844,1:34.512,1:34.730,1:34.259,1:34.377,1:34.590,1:37.475,1:55.511,1:32.897,1:32.864,1:33.206,1:33.525,1:33.228,1:32.881,1:33.610,1:33.121,1:33.692,1:33.493,1:33.495,1:33.624,1:33.629,1:33.672,1:33.752,1:34.103,1:34.256,1:34.153,2:07.139,2:22.229,2:37.664
kevin_magnussen,2:49.800,22:34.973,2:46.780,2:26.852,2:22.898,2:16.727,2:21.154,2:15.889,1:39.638,1:39.126,1:38.449,1:38.275,1:37.987,1:38.278,1:38.545,1:38.608,1:38.393,1:38.444,1:40.018,1:39.320,1:38.558,1:38.035,1:37.713,1:37.835,1:38.819,1:38.118,1:42.014,1:58.458,1:35.241,1:37.852,1:35.632,1:36.061,1:37.809,1:35.733,1:37.191,1:36.326,1:36.790,1:36.836,1:38.001,1:37.720,1:36.625,1:38.155,1:37.591,1:38.616,1:37.777,1:38.428,1:37.248,1:38.946,1:37.356,1:37.194,1:37.647,1:38.594,1:58.082,2:29.621,1:48.672,1:48.324,
kvyat,3:05.092,22:12.289,2:43.743,2:17.510,2:31.376,2:18.712,2:17.759,2:25.449,1:38.300,1:37.701,1:36.976,1:38.214,1:38.077,1:37.803,1:37.729,1:37.682,1:39.757,2:08.754,1:34.979,1:35.302,1:35.949,1:36.283,1:36.125,1:36.974,1:36.630,1:37.643,1:37.062,1:36.987,1:37.070,1:37.392,1:36.887,1:36.853,1:39.086,1:54.802,1:34.141,1:34.581,1:34.606,1:34.677,1:36.358,1:34.432,1:35.634,1:36.570,1:35.537,1:36.858,1:35.418,1:36.052,1:34.825,1:35.367,1:35.369,1:35.124,1:35.366,1:35.323,1:37.503,2:12.993,2:08.097,2:25.637,
latifi,2:57.400,22:32.677,2:34.173,2:17.274,2:31.462,2:18.521,2:18.493,2:22.993,1:39.644,1:38.539,1:37.869,1:37.979,1:38.289,1:39.051,1:38.546,1:38.587,1:38.305,1:38.296,1:39.609,1:40.710,1:40.950,1:56.538,1:35.971,1:36.007,1:35.924,1:36.008,1:36.302,1:36.768,1:36.573,1:37.332,1:36.903,1:37.049,1:37.461,1:37.013,1:37.463,1:37.580,1:40.599,1:54.612,1:34.591,1:34.832,1:35.969,1:36.163,1:36.476,1:35.991,1:35.561,1:36.476,1:35.077,1:35.492,1:35.578,1:37.601,1:36.106,1:36.303,1:46.870,2:12.461,1:51.177,2:14.922,
leclerc,2:40.113,22:28.168,2:46.325,2:18.031,2:30.201,2:18.696,2:17.543,2:31.449,1:37.425,1:37.030,1:37.009,1:39.949,1:38.543,1:37.471,1:37.516,1:37.123,1:37.210,1:37.078,1:37.066,1:37.377,1:37.756,1:38.559,1:40.792,1:55.223,1:35.380,1:35.612,1:35.117,1:35.377,1:35.287,1:35.412,1:35.658,1:36.980,1:36.048,1:36.233,1:36.055,1:36.241,1:36.400,1:36.304,1:36.786,1:40.296,1:55.192,1:34.039,1:33.696,1:33.625,1:33.633,1:33.729,1:34.182,1:34.150,1:34.129,1:36.219,1:34.671,1:34.889,1:37.077,2:07.443,2:21.804,2:37.018,
max_verstappen,2:09.912,22:29.157,3:02.539,2:24.266,2:28.753,2:18.960,2:18.648,2:36.293,1:34.185,1:34.535,1:34.705,1:34.699,1:35.153,1:35.200,1:35.052,1:35.589,1:35.258,1:35.932,1:35.729,1:38.100,1:54.175,1:33.085,1:33.781,1:33.507,1:33.873,1:33.870,1:33.809,1:34.106,1:34.323,1:34.325,1:34.551,1:34.387,1:34.987,1:37.439,1:55.512,1:32.663,1:32.727,1:33.085,1:32.989,1:33.683,1:32.730,1:33.217,1:33.402,1:33.866,1:34.123,1:36.307,1:53.625,1:32.014,1:32.671,1:32.091,1:32.859,1:32.309,1:33.072,1:32.047,2:12.874,2:11.331,2:26.689
