Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70
albon,1:47.561,1:36.192,1:38.884,1:51.950,1:28.886,1:25.890,1:24.436,1:25.139,1:24.012,1:23.342,1:23.506,1:23.030,1:24.018,1:24.395,1:24.419,1:24.418,1:24.394,1:23.014,1:22.737,1:22.633,1:22.992,1:22.720,1:23.134,1:23.026,1:22.790,1:22.860,1:23.149,1:23.710,1:23.491,1:22.849,1:22.750,1:22.646,1:22.669,1:25.954,1:41.225,1:23.315,1:20.324,1:20.610,1:20.703,1:20.415,1:20.264,1:20.336,1:21.087,1:20.511,1:20.305,1:20.346,1:20.578,1:20.368,1:20.510,1:20.271,1:20.295,1:20.843,1:21.025,1:20.788,1:21.520,1:22.337,1:20.740,1:20.489,1:20.744,1:20.539,1:20.804,1:20.436,1:20.916,1:20.760,1:20.536,1:19.488,1:19.617,1:19.440,1:20.159,1:20.549
bottas,1:42.397,1:38.777,1:54.775,1:33.140,1:29.816,1:26.453,1:24.570,1:26.200,1:23.272,1:22.018,1:22.744,1:21.872,1:21.524,1:21.946,1:22.640,1:23.165,1:21.783,1:21.998,1:22.503,1:21.424,1:21.369,1:21.635,1:21.726,1:21.683,1:22.224,1:21.828,1:22.089,1:22.207,1:22.275,1:22.243,1:22.049,1:22.241,1:25.627,1:38.262,1:20.359,1:20.128,1:19.656,1:18.945,1:19.943,1:19.102,1:19.134,1:19.414,1:19.768,1:20.147,1:19.679,1:20.542,1:20.490,1:21.285,1:22.602,1:37.094,1:18.435,1:17.913,1:18.039,1:18.546,1:18.694,1:18.373,1:18.854,1:19.548,1:19.447,1:19.079,1:19.409,1:18.451,1:18.169,1:18.165,1:18.493,1:17.665,1:18.229,1:18.508,1:18.869,1:20.276
gasly,1:48.287,1:36.445,1:41.283,1:52.900,1:29.409,1:28.235,1:25.772,1:24.829,1:24.498,1:23.939,1:24.833,1:25.599,1:26.606,1:27.163,1:30.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giovinazzi,1:51.470,1:39.055,1:39.165,1:45.277,1:48.244,1:26.059,1:25.172,1:25.113,1:24.313,1:24.270,1:24.508,1:24.653,1:24.786,1:25.261,1:25.515,1:26.160,1:26.442,1:27.577,1:26.712,1:29.470,1:42.963,1:21.963,1:21.765,1:22.571,1:22.033,1:22.283,1:22.366,1:22.482,1:22.423,1:22.369,1:22.221,1:22.537,1:22.783,1:23.710,1:23.467,1:23.118,1:23.999,1:22.940,1:22.807,1:25.712,1:41.758,1:20.722,1:20.262,1:20.096,1:20.235,1:20.424,1:20.536,1:20.563,1:20.483,1:20.629,1:20.771,1:20.605,1:20.549,1:20.660,1:21.407,1:22.225,1:20.944,1:20.463,1:20.314,1:23.121,1:20.738,1:20.530,1:20.472,1:20.255,1:20.523,1:20.411,1:20.425,1:20.238,1:20.616,
grosjean,1:59.075,1:39.906,1:32.940,1:35.575,1:28.196,1:26.093,1:25.923,1:24.361,1:24.208,1:23.756,1:23.811,1:25.510,1:23.928,1:23.800,1:23.610,1:23.395,1:23.492,1:23.584,1:23.494,1:23.270,1:23.592,1:23.581,1:23.446,1:23.700,1:23.342,1:23.486,1:23.733,1:23.829,1:25.805,1:24.377,1:25.150,1:24.025,1:26.100,1:31.657,1:43.606,1:21.536,1:21.370,1:20.965,1:20.946,1:21.182,1:22.391,1:21.687,1:22.026,1:21.403,1:21.458,1:22.114,1:26.179,1:24.270,1:22.188,1:21.578,1:21.563,1:21.528,1:23.492,1:21.443,1:21.291,1:21.027,1:20.933,1:21.459,1:21.061,1:21.135,1:21.284,1:21.195,1:20.984,1:21.102,1:21.039,1:21.893,1:20.889,1:21.350,1:21.580,
hamilton,1:35.670,1:31.458,1:34.916,1:53.821,1:25.898,1:23.991,1:23.327,1:22.170,1:22.130,1:21.522,1:22.127,1:21.886,1:21.873,1:21.720,1:21.620,1:21.436,1:21.855,1:21.363,1:22.397,1:21.887,1:21.807,1:21.727,1:21.687,1:21.341,1:21.950,1:21.390,1:21.741,1:21.532,1:21.265,1:21.198,1:21.315,1:21.508,1:21.553,1:21.693,1:23.684,1:21.455,1:23.974,1:40.605,1:20.301,1:20.092,1:19.846,1:19.862,1:20.360,1:19.963,1:19.824,1:19.737,1:19.870,1:19.715,1:19.849,1:20.250,1:20.155,1:20.125,1:19.573,1:20.306,1:19.267,1:20.196,1:19.599,1:19.269,1:19.182,1:19.903,1:18.916,1:19.432,1:18.710,1:18.723,1:18.611,1:21.759,1:39.908,1:17.497,1:20.554,1:16.627
kevin_magnussen,1:57.638,1:38.036,1:34.228,1:32.358,1:29.284,1:26.598,1:25.235,1:24.539,1:23.874,1:23.432,1:23.026,1:22.989,1:22.677,1:23.142,1:23.224,1:24.558,1:24.980,1:23.502,1:23.391,1:23.840,1:23.815,1:24.114,1:24.145,1:23.275,1:23.400,1:23.372,1:23.647,1:23.268,1:23.355,1:23.516,1:22.988,1:23.034,1:23.162,1:23.998,1:28.082,1:43.831,1:22.928,1:21.366,1:22.922,1:21.642,1:21.154,1:20.978,1:20.803,1:23.491,1:21.014,1:22.926,1:21.244,1:21.030,1:21.005,1:20.843,1:20.557,1:20.816,1:20.984,1:20.712,1:20.836,1:20.864,1:20.765,1:20.739,1:20.528,1:20.772,1:20.567,1:20.974,1:23.022,1:20.878,1:21.780,1:20.866,1:20.492,1:20.477,1:20.868,
kvyat,1:51.084,1:59.691,1:34.569,1:31.821,1:30.812,1:27.907,1:25.540,1:24.855,1:24.401,1:23.781,1:23.836,1:24.528,1:24.912,1:25.042,1:25.464,1:25.599,1:25.555,1:28.636,1:44.066,1:24.132,1:24.645,1:22.541,1:22.434,1:22.898,1:21.940,1:21.944,1:21.811,1:21.794,1:21.728,1:21.933,1:22.113,1:22.296,1:22.124,1:23.227,1:23.008,1:21.915,1:22.304,1:21.682,1:21.233,1:21.386,1:22.097,1:21.058,1:21.251,1:21.545,1:21.207,1:21.371,1:21.238,1:21.318,1:21.180,1:21.083,1:20.946,1:23.673,1:21.177,1:21.196,1:21.286,1:21.320,1:21.417,1:23.688,1:21.436,1:21.780,1:21.417,1:21.735,1:21.894,1:21.297,1:21.708,1:21.401,1:21.878,1:21.600,1:22.438,
latifi,1:47.053,1:36.089,1:41.883,3:24.294,2:04.508,1:27.230,1:25.128,1:24.597,1:24.434,1:27.168,1:24.402,1:24.800,1:27.128,1:25.592,1:25.294,1:24.979,1:29.404,1:24.509,1:24.131,1:24.378,1:24.447,1:26.621,1:24.280,1:24.327,1:24.105,1:24.102,1:24.880,1:30.030,1:28.003,1:24.191,1:30.403,1:58.604,1:24.269,1:23.327,1:26.788,1:23.565,1:23.267,1:25.677,1:48.640,1:50.150,1:23.645,1:22.342,1:22.058,1:22.510,1:23.266,1:23.424,1:25.603,1:26.567,1:24.834,1:25.084,1:24.458,1:27.810,1:46.840,1:24.331,1:22.952,1:33.357,1:22.395,1:22.670,1:22.051,1:22.111,1:21.834,1:21.427,1:21.346,1:21.198,1:21.931,,,,,
leclerc,1:41.753,1:38.230,1:53.361,1:35.218,1:29.981,1:26.241,1:24.720,1:24.978,1:24.503,1:25.121,1:23.892,1:24.054,1:24.157,1:24.416,1:24.462,1:24.420,1:24.437,1:25.893,1:26.011,1:28.325,1:44.896,1:22.131,1:21.367,1:21.469,1:22.421,1:22.663,1:22.755,1:22.711,1:22.807,1:22.665,1:23.263,1:21.763,1:22.398,1:21.723,1:22.384,1:23.360,1:21.962,1:21.721,1:21.436,1:21.634,1:21.223,1:22.920,1:21.479,1:23.184,1:21.223,1:20.982,1:21.242,1:21.271,1:21.349,1:21.127,1:21.769,1:21.033,1:21.224,1:21.175,1:21.594,1:21.327,1:23.811,1:21.956,1:22.080,1:24.277,1:21.662,1:21.756,1:20.962,1:20.821,1:21.548,1:21.699,1:21.591,1:21.562,1:23.413,
max_verstappen,1:39.556,1:33.264,1:34.529,1:35.025,1:47.204,1:23.730,1:23.206,1:22.741,1:22.313,1:22.402,1:22.509,1:22.170,1:21.998,1:22.296,1:22.086,1:21.769,1:22.112,1:21.559,1:21.726,1:22.278,1:22.748,1:21.520,1:21.893,1:21.747,1:21.847,1:21.722,1:21.739,1:21.809,1:21.936,1:22.188,1:22.340,1:22.877,1:22.531,1:22.736,1:23.376,1:25.839,1:40.097,1:20.492,1:20.265,1:20.090,1:19.906,1:20.299,1:20.175,1:20.659,1:20.437,1:20.617,1:20.211,1:20.573,1:20.268,1:19.830,1:19.827,1:19.975,1:19.872,1:19.763,1:19.886,1:20.217,1:20.465,1:19.767,1:19.867,1:19.184,1:19.413,1:19.564,1:20.047,1:19.324,1:19.250,1:19.321,1:19.304,1:19.346,1:19.321,1:20.222
