Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52
albon,1:43.077,2:12.634,2:30.069,2:34.515,2:08.780,1:35.837,1:54.670,1:31.828,1:32.407,1:32.208,1:31.622,1:48.430,2:07.837,2:05.744,2:32.218,2:39.745,2:33.881,2:09.712,1:36.213,1:33.979,1:32.770,1:32.673,1:32.189,1:32.107,1:32.245,1:32.149,1:32.350,1:32.175,1:32.160,1:31.204,1:57.525,1:30.132,1:29.637,1:29.426,1:29.993,1:29.565,1:29.487,1:30.254,1:30.426,1:29.261,1:29.281,1:29.485,1:29.368,1:30.032,1:29.685,1:28.874,1:28.790,1:29.075,1:29.256,1:29.122,1:29.162,1:28.689
bottas,1:35.364,2:06.276,2:30.518,2:33.304,2:18.710,1:30.858,1:31.622,1:30.961,1:31.039,1:30.883,1:30.518,1:30.968,2:08.489,2:44.825,2:32.049,2:37.114,2:34.130,2:22.431,1:30.959,1:30.392,1:30.415,1:30.058,1:29.988,1:30.506,1:30.232,1:30.444,1:30.164,1:29.764,1:29.944,1:29.934,1:29.719,1:29.617,1:29.579,1:29.608,1:29.463,1:29.765,1:29.881,1:29.508,1:29.907,1:29.892,1:29.265,1:29.296,1:29.723,1:29.780,1:29.739,1:30.164,1:30.271,1:31.797,1:31.051,2:06.242,1:56.238,1:30.086
gasly,1:41.865,2:12.616,2:29.661,2:33.980,2:10.165,1:35.376,1:34.882,1:33.491,1:33.415,1:33.628,1:32.954,1:40.646,2:27.726,2:08.272,2:31.573,2:40.103,2:33.039,2:11.471,1:35.992,1:33.998,1:32.775,1:32.586,1:32.296,1:32.062,1:32.206,1:32.160,1:32.397,1:32.172,1:32.051,1:31.296,1:31.946,1:31.253,1:31.451,1:31.130,1:31.736,1:31.107,1:31.084,1:31.104,1:30.805,1:30.419,1:30.319,1:30.360,1:30.435,1:30.498,1:30.605,1:30.535,1:30.189,1:30.575,1:30.324,1:30.175,1:29.964,1:29.603
giovinazzi,1:43.369,2:14.228,2:29.700,2:34.310,2:08.087,1:35.001,1:34.520,1:33.506,1:33.445,1:33.621,1:33.955,1:39.880,2:26.229,2:07.745,2:31.331,2:39.985,2:33.418,2:12.137,1:35.792,1:34.027,1:32.582,1:32.693,1:32.158,1:32.206,1:32.323,1:32.258,1:32.276,1:32.249,1:31.913,1:32.614,1:32.275,1:31.808,1:31.548,1:31.633,1:31.905,1:31.718,1:31.720,1:31.401,1:31.566,1:31.701,1:31.109,1:31.547,1:31.462,1:31.177,1:32.133,1:31.417,1:31.147,1:31.014,1:30.977,1:31.082,1:31.072,1:31.518
grosjean,1:44.267,2:16.618,2:30.420,2:34.305,2:05.987,1:34.525,1:34.240,1:33.672,1:33.467,1:33.607,1:33.605,1:44.987,2:08.326,2:10.741,2:31.069,2:39.117,2:33.187,2:19.878,1:34.042,1:32.647,1:32.736,1:33.137,1:32.632,1:33.129,1:32.537,1:32.307,1:31.885,1:31.760,1:31.708,1:31.447,1:31.398,1:31.447,1:31.124,1:31.067,1:31.662,1:33.318,1:58.576,1:30.862,1:30.365,1:30.148,1:29.919,1:30.644,1:30.840,1:30.570,1:30.321,1:29.965,1:30.261,1:30.062,1:29.782,1:30.013,1:30.318,1:31.686
hamilton,1:34.010,2:06.445,2:31.201,2:32.874,2:18.933,1:30.533,1:31.143,1:30.943,1:30.868,1:30.838,1:30.903,1:30.705,2:05.834,2:47.254,2:31.637,2:38.090,2:34.082,2:22.988,1:30.534,1:30.371,1:30.188,1:30.324,1:29.812,1:30.127,1:29.944,1:30.162,1:30.312,1:30.266,1:30.079,1:29.712,1:29.660,1:29.995,1:29.326,1:29.321,1:29.693,1:29.688,1:29.663,1:29.553,1:29.762,1:29.282,1:29.254,1:29.269,1:29.525,1:29.364,1:29.238,1:29.432,1:29.455,1:29.821,1:30.120,1:31.081,1:32.185,1:55.484
kevin_magnussen,1:43.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kvyat,1:43.748,2:15.827,2:29.324,2:35.038,2:06.770,1:34.683,1:34.402,1:33.521,1:33.384,1:33.461,1:32.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latifi,1:45.776,2:18.757,2:30.708,2:34.814,2:02.869,1:35.352,1:34.776,1:33.672,1:34.243,1:33.964,1:33.264,1:47.830,2:28.133,1:59.905,2:31.968,2:38.734,2:34.151,2:07.362,1:37.147,1:34.695,1:33.510,1:33.027,1:32.937,1:32.793,1:32.345,1:32.503,1:32.676,1:32.895,1:32.370,1:32.100,1:32.153,1:31.562,1:31.960,1:32.119,1:31.858,1:31.993,1:31.298,1:31.243,1:31.345,1:31.082,1:31.617,1:31.160,1:31.090,1:30.501,1:31.270,1:31.019,1:31.008,1:30.871,1:30.915,1:31.119,1:31.227,1:32.146
leclerc,1:37.904,2:07.127,2:29.468,2:33.312,2:18.180,1:33.695,1:32.950,1:32.248,1:32.519,1:32.319,1:32.183,1:37.226,2:06.304,2:31.564,2:31.323,2:37.849,2:34.156,2:21.492,1:33.614,1:32.336,1:31.866,1:31.418,1:31.547,1:31.897,1:31.421,1:31.463,1:31.589,1:31.378,1:31.448,1:31.322,1:31.644,1:31.249,1:31.201,1:31.007,1:31.807,1:31.194,1:30.930,1:30.790,1:30.460,1:30.596,1:30.104,1:30.219,1:30.512,1:30.312,1:30.196,1:29.981,1:30.068,1:30.840,1:29.813,1:30.763,1:30.447,1:32.506
max_verstappen,1:36.913,2:06.326,2:30.222,2:32.997,2:18.752,1:31.959,1:32.018,1:31.374,1:31.460,1:31.143,1:31.204,1:31.181,2:08.840,2:41.018,2:31.865,2:37.513,2:34.095,2:21.921,1:32.334,1:31.096,1:30.830,1:30.503,1:30.746,1:31.030,1:30.376,1:30.415,1:30.617,1:30.447,1:30.633,1:30.417,1:29.986,1:30.101,1:29.801,1:29.783,1:30.180,1:29.917,1:30.065,1:30.240,1:30.005,1:29.985,1:29.070,1:29.389,1:29.819,1:29.671,1:29.355,1:30.046,1:29.728,1:29.572,1:29.675,1:31.697,1:51.712,1:27.097
norris,1:39.921,2:09.723,2:29.223,2:34.623,2:13.298,1:34.741,1:34.278,1:33.053,1:33.414,1:33.164,1:32.759,1:39.733,2:26.132,2:08.388,2:31.245,2:39.804,2:32.555,2:16.924,1:34.515,1:33.129,1:32.513,1:32.152,1:32.597,1:32.042,1:32.065,1:32.075,1:32.107,1:31.646,1:31.481,1:31.648,1:31.436,1:31.343,1:31.262,1:30.975,1:31.281,1:30.854,1:30.600,1:30.427,1:30.347,1:30.516,1:30.058,1:30.177,1:30.209,1:30.244,1:30.096,1:30.291,1:30.166,1:30.058,1:31.173,1:30.578,1:30.379,1:30.142
ocon,1:40.838,2:11.306,2:29.090,2:35.131,2:11.098,1:35.286,1:34.678,1:33.410,1:33.456,1:33.179,1:33.077,1:39.896,2:26.626,2:09.398,2:31.233,2:39.650,2:33.745,2:13.141,1:34.664,1:33.728,1:32.783,1:32.445,1:32.043,1:32.379,1:32.467,1:32.588,1:31.845,1:31.796,1:31.793,1:31.880,1:31.493,1:31.159,1:31.403,1:31.284,1:31.479,1:31.359,1:31.010,1:30.831,1:30.705,1:30.627,1:30.875,1:30.633,1:30.781,1:30.532,1:30.404,1:29.848,1:30.145,1:30.463,1:29.874,1:29.491,1:29.660,1:29.515
raikkonen,1:44.681,2:17.416,2:30.462,2:34.132,2:05.243,1:34.648,1:34.393,1:33.674,1:33.527,1:33.528,1:33.314,1:44.246,2:31.039,2:02.097,2:31.240,2:39.999,2:34.087,2:08.167,1:35.995,1:34.126,1:33.056,1:32.719,1:33.912,1:32.919,1:32.637,1:32.501,1:33.448,1:32.877,1:32.104,1:32.254,1:32.259,1:33.041,1:32.315,1:32.497,1:32.691,1:31.974,1:31.675,1:31.798,1:32.524,1:31.788,1:31.718,1:32.292,1:31.700,1:32.058,1:31.859,1:31.494,1:54.836,2:08.309,1:29.973,1:32.679,1:36.344,
ricciardo,1:39.264,2:08.887,2:28.982,2:35.090,2:14.328,1:34.179,1:34.135,1:33.025,1:33.183,1:33.062,1:32.789,1:38.651,2:26.815,2:08.688,2:31.761,2:39.267,2:32.813,2:17.817,1:35.360,1:33.359,1:32.560,1:32.125,1:32.440,1:32.182,1:32.618,1:32.433,1:31.952,1:31.851,1:31.681,1:31.454,1:31.310,1:31.560,1:31.035,1:31.139,1:31.473,1:30.749,1:30.603,1:30.353,1:30.179,1:30.161,1:29.950,1:30.062,1:30.530,1:30.119,1:29.973,1:30.077,1:30.015,1:30.005,1:29.482,1:29.858,1:29.783,1:29.766
russell,1:45.216,2:17.923,2:30.975,2:34.250,2:03.937,1:35.055,1:34.479,1:33.527,1:33.881,1:33.647,1:33.694,1:43.329,2:24.811,2:06.147,2:31.723,2:39.796,2:34.181,2:08.939,1:37.267,1:34.245,1:33.088,1:33.243,1:33.019,1:33.046,1:32.565,1:32.499,1:31.940,1:32.047,1:31.721,1:31.546,1:31.957,1:31.683,1:31.423,1:31.112,1:31.707,1:31.759,1:31.343,1:31.338,1:31.095,1:31.038,1:30.862,1:31.359,1:31.309,1:31.099,1:32.419,1:31.461,1:30.880,1:31.146,1:30.862,1:31.573,1:31.858,1:32.268
sainz,1:38.652,2:08.406,2:28.577,2:34.053,2:16.516,1:33.674,1:33.699,1:32.917,1:33.016,1:32.878,1:32.626,1:40.877,2:04.935,2:28.662,2:32.401,2:38.851,2:33.173,2:18.326,1:34.463,1:32.682,1:32.490,1:31.859,1:32.458,1:31.967,1:31.898,1:31.934,1:31.616,1:31.838,1:31.563,1:31.495,1:31.392,1:31.174,1:31.177,1:31.149,1:31.317,1:30.994,1:30.784,1:30.531,1:30.577,1:30.380,1:30.185,1:30.236,1:30.619,1:30.400,1:30.012,1:30.363,1:29.948,1:30.098,1:30.045,1:30.287,1:37.060,1:57.423
stroll,1:40.476,2:10.286,2:29.271,2:34.849,2:12.315,1:34.963,1:34.261,1:33.108,1:33.399,1:33.140,1:32.800,1:41.086,2:05.779,2:28.537,2:30.980,2:40.385,2:32.934,2:14.818,1:35.085,1:33.550,1:32.586,1:32.206,1:32.298,1:32.320,1:32.566,1:32.733,1:31.764,1:31.816,1:31.692,1:31.441,1:31.418,1:31.391,1:31.205,1:31.142,1:31.462,1:31.224,1:31.872,1:30.642,1:30.742,1:30.808,1:30.728,1:30.722,1:30.765,1:30.475,1:30.639,1:31.405,1:30.834,1:31.329,1:32.153,1:30.772,1:31.680,1:31.742
vettel,1:41.375,2:11.969,2:28.600,2:34.962,2:11.085,1:35.095,1:34.927,1:33.528,1:33.461,1:33.378,1:33.086,1:39.509,2:24.723,2:09.879,2:31.302,2:39.411,2:33.542,2:14.104,1:35.950,1:33.666,1:32.635,1:32.489,1:31.939,1:32.479,1:32.431,1:32.263,1:32.336,1:32.029,1:31.785,1:31.830,1:31.960,1:31.420,1:31.401,1:31.085,1:31.770,1:31.328,1:32.152,1:31.856,1:31.186,1:30.752,1:30.609,1:30.776,1:30.973,1:30.537,1:30.761,1:30.666,1:30.601,1:30.757,1:32.228,1:31.547,1:31.225,1:31.782
