Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66
albon,1:31.211,1:25.396,1:25.241,1:25.230,1:25.347,1:25.181,1:24.986,1:24.631,1:24.749,1:24.995,1:25.653,1:25.421,1:25.276,1:25.350,1:25.469,1:25.634,1:29.223,1:43.239,1:26.070,1:25.605,1:25.185,1:25.335,1:25.304,1:25.947,1:25.388,1:25.679,1:25.619,1:25.459,1:26.442,1:25.401,1:25.182,1:25.271,1:23.688,1:24.770,1:24.945,1:24.196,1:24.201,1:24.257,1:27.959,1:40.933,1:22.194,1:24.393,1:23.007,1:23.466,1:25.256,1:23.431,1:23.563,1:22.776,1:22.994,1:23.059,1:23.402,1:22.939,1:23.053,1:23.389,1:23.149,1:23.162,1:25.165,1:22.966,1:23.124,1:23.558,1:24.826,1:23.983,1:23.998,1:24.319,1:24.768,
bottas,1:29.434,1:25.062,1:24.948,1:25.258,1:23.796,1:24.187,1:23.981,1:24.266,1:24.191,1:24.035,1:23.590,1:23.449,1:23.727,1:23.655,1:23.690,1:23.700,1:23.907,1:24.026,1:23.726,1:24.063,1:24.474,1:24.337,1:28.170,1:40.605,1:22.021,1:22.991,1:23.253,1:23.310,1:23.304,1:23.591,1:23.615,1:23.425,1:23.430,1:22.800,1:22.781,1:23.440,1:23.866,1:23.524,1:23.136,1:23.265,1:23.334,1:21.857,1:22.532,1:22.526,1:23.206,1:22.821,1:23.068,1:26.658,1:41.004,1:21.897,1:21.885,1:21.616,1:21.698,1:21.765,1:21.541,1:21.666,1:21.698,1:21.713,1:21.754,1:21.821,1:21.934,1:22.383,1:19.750,1:25.147,1:40.545,1:18.183
gasly,1:32.988,1:26.105,1:25.558,1:25.436,1:25.661,1:25.235,1:25.259,1:25.035,1:25.018,1:25.160,1:25.070,1:25.267,1:25.528,1:25.362,1:25.224,1:25.100,1:25.101,1:25.539,1:25.257,1:25.816,1:29.741,1:42.503,1:24.741,1:25.358,1:25.181,1:25.624,1:25.689,1:27.302,1:24.110,1:25.370,1:25.226,1:25.221,1:25.779,1:24.031,1:24.307,1:24.147,1:23.850,1:24.159,1:24.630,1:23.082,1:24.041,1:27.358,1:42.245,1:22.543,1:23.544,1:23.637,1:23.330,1:23.356,1:23.098,1:23.838,1:22.931,1:22.599,1:22.911,1:23.164,1:22.898,1:25.021,1:22.914,1:23.372,1:23.478,1:24.873,1:23.789,1:23.571,1:23.468,1:24.302,1:24.546,
giovinazzi,1:39.048,1:28.572,1:27.417,1:26.551,1:26.812,1:26.529,1:26.295,1:26.397,1:26.061,1:26.236,1:26.182,1:26.115,1:25.990,1:26.159,1:26.019,1:26.203,1:26.227,1:26.143,1:26.496,1:26.609,1:30.247,1:42.797,1:23.614,1:23.946,1:24.157,1:24.603,1:26.594,1:24.395,1:24.637,1:24.386,1:24.710,1:24.589,1:24.105,1:24.661,1:26.546,1:24.876,1:24.795,1:25.099,1:27.331,1:24.985,1:27.515,1:25.121,1:25.078,1:25.259,1:30.045,1:40.982,1:21.801,1:22.614,1:22.460,1:22.719,1:22.663,1:23.133,1:23.104,1:23.201,1:22.961,1:23.198,1:23.166,1:23.572,1:23.844,1:23.931,1:22.504,1:23.060,1:23.251,1:23.160,1:23.593,
grosjean,1:38.499,1:27.730,1:27.276,1:26.333,1:27.526,1:26.346,1:26.635,1:26.377,1:25.818,1:25.921,1:26.252,1:25.830,1:26.015,1:25.999,1:26.037,1:26.133,1:25.962,1:26.398,1:26.001,1:26.162,1:26.031,1:26.972,1:26.063,1:25.936,1:26.193,1:27.252,1:26.035,1:26.681,1:26.034,1:27.232,1:28.150,1:31.836,1:44.068,1:23.361,1:23.569,1:24.344,1:23.340,1:23.619,1:23.509,1:23.714,1:23.837,1:23.877,1:25.595,1:24.409,1:24.657,1:24.599,1:23.851,1:24.338,1:24.178,1:23.880,1:24.878,1:23.721,1:23.543,1:24.251,1:25.197,1:23.739,1:24.637,1:24.757,1:26.454,1:24.419,1:24.274,1:33.951,1:54.308,1:20.409,,
hamilton,1:25.855,1:24.630,1:25.037,1:24.679,1:24.370,1:24.247,1:24.278,1:24.108,1:24.526,1:23.618,1:23.238,1:23.067,1:22.767,1:23.197,1:23.095,1:23.216,1:23.366,1:23.406,1:23.505,1:23.394,1:23.410,1:23.699,1:27.175,1:44.038,1:23.845,1:23.659,1:23.670,1:23.275,1:23.688,1:23.343,1:23.007,1:23.102,1:23.002,1:22.658,1:22.948,1:22.440,1:22.826,1:22.502,1:22.273,1:22.213,1:22.438,1:22.305,1:22.129,1:22.141,1:21.539,1:22.064,1:22.149,1:23.063,1:21.954,1:24.990,1:40.359,1:20.274,1:20.892,1:20.901,1:21.220,1:21.446,1:21.498,1:21.379,1:20.964,1:21.223,1:21.397,1:20.975,1:19.822,1:20.872,1:20.847,1:22.066
kevin_magnussen,1:36.577,1:27.659,1:26.534,1:25.872,1:26.146,1:26.010,1:25.985,1:26.126,1:25.944,1:25.929,1:25.566,1:25.743,1:25.934,1:26.026,1:25.898,1:25.702,1:25.554,1:25.839,1:25.845,1:25.794,1:25.854,1:25.901,1:25.832,1:25.749,1:25.575,1:25.596,1:25.770,1:33.003,1:45.827,1:23.846,1:24.319,1:24.439,1:24.282,1:24.688,1:25.963,1:24.755,1:26.708,1:25.565,1:24.546,1:24.848,1:24.969,1:24.731,1:25.034,1:25.383,1:24.010,1:25.846,1:24.253,1:23.956,1:25.495,1:23.935,1:23.883,1:23.944,1:23.999,1:23.758,1:24.227,1:25.883,1:24.075,1:24.267,1:24.382,1:25.281,1:24.066,1:24.008,1:23.837,1:23.474,1:23.925,
kvyat,1:35.427,1:27.108,1:25.954,1:25.718,1:26.721,1:25.668,1:25.483,1:25.448,1:25.387,1:25.808,1:25.165,1:25.243,1:25.420,1:25.532,1:25.249,1:25.635,1:25.703,1:25.740,1:25.630,1:26.056,1:30.029,1:44.714,1:23.233,1:23.987,1:24.676,1:24.096,1:24.007,1:24.316,1:24.328,1:25.896,1:24.861,1:25.112,1:25.177,1:26.504,1:24.867,1:24.704,1:23.772,1:23.692,1:23.652,1:24.177,1:24.260,1:24.370,1:24.211,1:25.774,1:28.586,1:41.148,1:22.336,1:22.476,1:22.977,1:23.435,1:23.896,1:22.879,1:22.740,1:23.042,1:24.640,1:22.644,1:22.993,1:22.823,1:22.815,1:22.873,1:22.695,1:23.103,1:23.250,1:23.559,1:24.578,
latifi,1:39.559,1:29.197,1:27.177,1:27.476,1:27.348,1:27.676,1:26.775,1:26.210,1:26.467,1:26.808,1:26.626,1:26.325,1:26.067,1:26.150,1:26.112,1:25.820,1:25.911,1:26.048,1:26.108,1:26.014,1:26.284,1:26.415,1:27.576,1:27.235,1:27.954,1:28.389,1:27.915,1:32.945,1:42.684,1:22.825,1:23.461,1:24.172,1:25.634,1:24.634,1:24.405,1:24.335,1:24.077,1:24.496,1:24.621,1:23.981,1:24.459,1:24.403,1:24.540,1:25.052,1:23.911,1:23.794,1:23.699,1:25.181,1:29.352,1:41.488,1:22.384,1:23.014,1:22.937,1:22.882,1:22.901,1:23.194,1:22.590,1:22.741,1:22.491,1:22.030,1:22.422,1:22.909,1:23.479,1:25.532,,
leclerc,1:33.402,1:26.359,1:25.640,1:25.322,1:25.967,1:25.211,1:25.418,1:25.228,1:25.309,1:25.105,1:25.075,1:24.932,1:25.489,1:25.774,1:25.289,1:24.873,1:25.014,1:25.423,1:24.983,1:25.573,1:26.542,1:24.914,1:25.188,1:24.961,1:25.098,1:25.363,1:25.712,1:25.728,1:29.966,1:43.130,1:24.894,1:25.198,1:25.567,1:26.774,1:23.968,2:12.577,1:33.153,1:27.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,
