Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44
albon,1:57.297,1:51.996,1:51.516,1:51.761,1:51.417,1:51.529,1:51.545,1:51.306,1:50.937,1:50.901,2:37.681,2:54.912,2:58.792,2:41.060,1:52.032,1:51.343,1:51.224,1:49.565,1:49.742,1:50.213,1:51.196,1:50.221,1:50.320,1:48.940,1:49.182,1:48.792,1:48.736,1:49.062,1:48.784,1:49.158,1:49.192,1:49.282,1:49.710,1:49.619,1:50.017,1:49.956,1:49.964,1:50.184,1:49.985,1:50.375,1:50.139,1:50.257,1:50.174,1:51.459
bottas,1:53.738,1:50.116,1:50.243,1:49.937,1:50.001,1:50.225,1:49.920,1:49.897,1:49.820,1:50.305,2:36.224,3:04.696,2:59.992,2:45.335,1:48.824,1:48.156,1:48.481,1:49.142,1:48.752,1:48.731,1:48.850,1:48.719,1:48.538,1:48.937,1:48.407,1:48.082,1:47.983,1:48.332,1:48.129,1:48.145,1:48.595,1:48.504,1:48.457,1:48.664,1:48.687,1:48.753,1:48.894,1:48.964,1:49.051,1:49.793,1:49.881,1:49.801,1:51.094,1:51.414
gasly,1:59.301,1:52.409,1:51.368,1:51.903,1:51.803,1:51.629,1:51.773,1:51.915,1:51.679,1:52.989,2:31.431,2:50.515,2:59.016,2:43.624,1:51.631,1:50.314,1:50.343,1:50.295,1:50.780,1:50.575,1:51.698,1:50.405,1:50.498,1:51.730,1:50.768,1:55.857,2:02.065,1:48.381,1:47.839,1:48.021,1:48.473,1:48.603,1:49.098,1:48.898,1:49.862,1:50.535,1:48.572,1:48.626,1:48.683,1:48.103,1:48.360,1:49.607,1:47.844,1:48.313
giovinazzi,2:02.147,1:54.022,1:52.768,1:52.378,1:52.614,1:52.791,1:52.711,1:52.328,1:51.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grosjean,2:03.895,1:54.568,1:53.520,1:53.055,1:53.040,1:51.859,1:52.380,1:52.455,1:52.333,2:06.920,2:43.098,2:32.496,2:57.649,2:29.242,1:52.823,1:51.980,1:52.230,1:51.487,1:51.261,1:51.093,1:50.952,1:50.606,1:50.466,1:51.163,1:50.618,1:51.326,1:50.445,1:50.018,1:50.336,1:51.386,1:50.243,1:50.181,1:50.584,1:50.405,1:50.416,1:50.636,1:51.147,1:50.371,1:50.915,1:50.871,1:50.836,1:50.736,1:51.061,1:52.452
hamilton,1:52.322,1:50.242,1:50.073,1:50.269,1:49.470,1:50.117,1:49.921,1:49.993,1:49.642,1:49.871,2:34.143,3:07.938,3:00.060,2:45.698,1:48.325,1:48.247,1:48.165,1:48.470,1:48.325,1:48.506,1:48.592,1:48.779,1:48.549,1:48.123,1:48.319,1:47.851,1:48.274,1:47.758,1:47.964,1:48.176,1:48.856,1:48.311,1:48.174,1:48.481,1:48.108,1:48.316,1:49.204,1:48.920,1:48.521,1:48.877,1:49.860,1:51.398,1:49.596,1:49.957
kevin_magnussen,2:02.660,1:54.097,1:53.189,1:53.545,1:53.949,1:54.256,1:52.909,1:52.811,1:52.271,2:09.681,2:46.861,2:25.100,2:57.393,2:28.272,1:52.833,1:52.304,1:52.261,1:51.576,1:51.389,1:51.275,1:51.443,1:51.003,1:51.007,1:51.552,1:50.656,1:50.541,1:50.382,1:50.362,1:51.327,1:50.469,1:50.402,1:50.489,1:51.086,1:50.589,1:56.047,2:04.365,1:48.083,1:48.525,1:49.428,1:49.913,1:49.237,1:49.282,1:49.559,1:49.922
kvyat,2:00.948,1:53.663,1:52.273,1:52.397,1:52.621,1:52.828,1:51.580,1:51.554,1:51.109,1:58.144,2:35.082,2:48.081,2:58.998,2:35.327,1:52.651,1:51.957,1:51.668,1:51.256,1:50.687,1:50.649,1:50.587,1:50.240,1:50.543,1:50.394,1:50.199,1:50.130,1:49.862,1:49.832,1:49.885,1:49.857,1:49.963,1:50.109,1:50.140,1:50.359,1:50.495,1:53.544,1:51.195,1:50.705,1:50.938,1:50.929,1:50.857,1:51.759,1:51.403,1:51.563
latifi,2:04.659,1:54.848,1:53.465,1:52.932,1:53.291,1:53.159,1:53.159,1:53.978,1:53.206,2:09.652,2:46.240,2:23.856,2:58.571,2:26.415,1:52.917,1:52.421,1:52.471,1:51.592,1:51.417,1:51.622,1:51.540,1:51.044,1:52.160,1:50.908,1:50.904,1:50.664,1:50.734,1:51.499,1:51.143,1:54.687,2:02.753,1:48.048,1:48.746,1:48.540,1:49.008,1:49.067,1:48.834,1:49.204,1:49.470,1:49.715,1:49.336,1:49.091,1:49.795,1:49.795
leclerc,1:58.759,1:52.230,1:53.360,1:53.023,1:52.563,1:54.119,1:53.234,1:51.775,1:52.096,2:01.597,2:52.109,2:30.104,2:58.935,2:32.308,1:52.491,1:52.219,1:51.715,1:51.545,1:51.290,1:50.753,1:50.616,1:50.653,1:50.288,1:54.858,2:05.467,1:47.840,1:48.459,1:49.070,1:49.103,1:50.166,1:49.341,1:49.389,1:49.322,1:49.895,1:49.358,1:49.726,1:49.559,1:50.100,1:50.907,1:50.846,1:51.229,1:50.279,1:50.950,1:50.035
