Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71,Lap 72
alonso,1:24.243,1:18.102,1:17.532,1:17.805,1:18.107,1:17.955,1:17.988,1:17.966,1:17.745,1:17.960,1:17.780,1:17.440,1:17.410,1:17.269,1:16.759,1:16.532,1:16.622,1:16.606,1:16.436,1:16.451,1:16.558,1:15.991,1:15.943,1:16.258,1:16.464,1:16.177,1:16.390,1:17.964,1:16.682,1:17.040,1:16.973,1:17.112,1:20.105,1:34.241,1:17.118,1:17.548,1:15.647,1:16.352,1:16.030,1:16.020,1:15.982,1:16.596,1:15.806,1:17.587,1:16.814,1:15.555,1:16.042,1:15.555,1:15.770,1:16.125,1:16.754,1:14.964,1:14.780,1:14.525,1:14.526,1:14.490,1:14.324,1:14.592,1:14.382,1:14.323,1:14.744,1:15.951,1:15.610,1:16.124,1:15.382,1:16.210,1:16.320,1:16.202,1:15.977,1:16.162,1:15.369,
bottas,1:20.387,1:15.861,1:15.699,1:15.152,1:15.169,1:15.530,1:15.635,1:15.237,1:15.755,1:15.656,1:15.685,1:15.511,1:15.509,1:15.476,1:15.566,1:15.706,1:15.695,1:15.499,1:15.724,1:15.416,1:15.496,1:15.593,1:15.958,1:16.486,1:16.139,1:15.820,1:15.508,1:15.963,1:16.043,1:16.974,1:22.297,1:32.787,1:15.049,1:14.025,1:14.142,1:14.922,1:15.694,1:14.307,1:14.199,1:15.397,1:14.960,1:14.601,1:14.632,1:14.646,1:14.412,1:14.349,1:14.366,1:14.383,1:14.857,1:14.900,1:14.722,1:14.365,1:14.334,1:14.791,1:14.273,1:15.005,1:14.108,1:14.064,1:14.366,1:14.295,1:14.555,1:15.026,1:16.270,1:14.279,1:15.520,1:14.826,1:19.564,1:35.768,1:12.549,1:13.881,1:15.369,1:15.152
gasly,1:21.662,1:16.839,1:16.483,1:16.125,1:16.235,1:16.138,1:16.352,1:16.890,1:16.552,1:16.553,1:16.752,1:16.491,1:16.666,1:16.872,1:16.313,1:16.307,1:16.578,1:16.599,1:16.452,1:16.218,1:16.430,1:16.470,1:16.652,1:19.651,1:33.194,1:15.153,1:16.285,1:15.450,1:16.042,1:15.911,1:16.114,1:15.833,1:15.871,1:16.320,1:16.160,1:16.059,1:15.903,1:15.729,1:15.863,1:15.535,1:15.622,1:15.548,1:15.477,1:15.269,1:15.540,1:15.375,1:15.259,1:15.295,1:15.454,1:15.974,1:15.989,1:15.399,1:15.483,1:15.105,1:15.314,1:14.916,1:14.818,1:14.882,1:15.082,1:14.866,1:14.868,1:14.859,1:15.191,1:15.131,1:15.430,1:16.185,1:18.037,1:17.262,1:16.135,1:15.563,1:16.153,
giovinazzi,1:26.167,1:18.815,1:17.772,1:17.764,1:17.927,1:17.915,1:17.835,1:18.032,1:18.555,1:18.238,1:18.306,1:17.988,1:17.438,1:17.703,1:17.555,1:17.624,1:17.432,1:17.240,1:17.258,1:16.990,1:16.859,1:16.878,1:16.881,1:17.060,1:17.418,1:16.966,1:20.442,1:34.017,1:17.385,1:16.568,1:17.305,1:17.072,1:21.476,1:35.464,1:15.500,1:16.057,1:15.833,1:16.157,1:16.042,1:16.158,1:16.375,1:16.850,1:16.910,1:16.851,1:16.159,1:15.942,1:15.954,1:16.138,1:18.645,1:16.191,1:16.756,1:18.226,1:17.444,1:17.131,1:16.634,1:17.898,1:18.375,1:15.529,1:15.447,1:15.244,1:15.495,1:16.965,1:15.784,1:15.347,1:15.554,1:15.125,1:15.279,1:15.498,1:15.991,1:15.343,,
hamilton,1:19.399,1:15.395,1:15.045,1:14.825,1:15.102,1:15.118,1:15.430,1:15.358,1:14.750,1:15.126,1:15.182,1:15.000,1:15.109,1:15.526,1:15.139,1:15.161,1:15.418,1:15.476,1:15.619,1:19.092,1:32.549,1:13.757,1:14.234,1:14.238,1:14.418,1:14.927,1:14.787,1:14.574,1:16.203,1:14.526,1:16.033,1:15.003,1:14.728,1:14.579,1:14.809,1:14.721,1:14.516,1:14.788,1:17.127,1:32.263,1:13.292,1:13.428,1:13.806,1:13.678,1:14.505,1:14.185,1:14.123,1:13.619,1:13.124,1:13.475,1:13.324,1:13.511,1:13.524,1:13.683,1:15.270,1:13.783,1:13.450,1:13.525,1:14.547,1:13.674,1:14.462,1:13.835,1:13.711,1:13.705,1:13.841,1:13.662,1:13.509,1:14.884,1:13.981,1:16.335,1:32.729,1:11.097
kubica,1:29.108,1:19.629,1:19.283,1:18.504,1:18.411,1:18.229,1:18.301,1:18.032,1:18.429,1:18.382,1:18.491,1:17.996,1:17.906,1:17.921,1:17.815,1:17.595,1:17.918,1:17.836,1:17.909,1:18.768,1:17.344,1:17.534,1:17.841,1:17.746,1:17.602,1:17.029,1:17.083,1:17.313,1:17.456,1:19.589,1:20.321,1:19.350,1:18.756,1:17.736,1:17.541,1:17.770,1:18.601,1:18.171,1:19.757,1:21.745,1:36.349,1:15.867,1:15.976,1:15.442,1:15.780,1:16.097,1:15.829,1:16.037,1:15.992,1:15.845,1:15.697,1:16.253,1:17.347,1:17.426,1:17.461,1:15.919,1:16.083,1:15.762,1:15.844,1:16.307,1:15.703,1:15.758,1:17.593,1:16.894,1:17.776,1:21.956,1:19.563,1:18.110,1:18.626,1:17.813,,
latifi,1:37.259,1:16.847,1:17.682,1:19.067,1:17.600,1:18.334,1:17.648,1:18.241,1:18.036,1:17.806,1:18.507,1:18.552,1:17.537,1:17.452,1:17.186,1:17.720,1:17.723,1:18.386,1:18.300,1:17.548,1:17.472,1:17.202,1:20.626,1:35.434,1:15.790,1:16.872,1:16.410,1:16.353,1:17.664,1:16.449,1:16.682,1:17.132,1:17.068,1:18.434,1:16.674,1:17.748,1:16.576,1:16.717,1:16.683,1:18.041,1:17.033,1:16.835,1:16.251,1:16.772,1:16.333,1:16.751,1:16.488,1:16.160,1:16.568,1:18.221,1:17.429,1:16.855,1:18.836,1:16.882,1:16.464,1:16.478,1:20.457,1:18.065,1:18.077,1:16.866,1:16.287,1:16.694,1:17.006,1:18.061,1:17.717,1:20.271,1:20.392,1:19.387,1:18.777,1:19.874,,
leclerc,1:22.599,1:17.903,1:17.062,1:16.978,1:16.581,1:16.597,1:16.596,1:16.565,1:16.327,1:16.710,1:16.196,1:16.330,1:16.318,1:16.273,1:16.547,1:16.276,1:16.416,1:16.331,1:16.343,1:16.238,1:16.207,1:16.322,1:16.046,1:16.812,1:15.931,1:16.249,1:16.244,1:16.321,1:16.396,1:16.703,1:16.666,1:17.418,1:17.745,1:20.851,1:34.780,1:15.463,1:15.203,1:15.342,1:15.117,1:15.325,1:15.166,1:15.466,1:15.336,1:15.095,1:15.253,1:15.235,1:15.394,1:15.004,1:15.318,1:15.093,1:15.029,1:14.821,1:15.823,1:15.270,1:14.837,1:14.860,1:14.852,1:14.780,1:14.900,1:14.787,1:14.904,1:14.837,1:16.832,1:17.754,1:16.058,1:15.852,1:15.432,1:15.458,1:15.269,1:16.589,1:16.544,
max_verstappen,1:17.665,1:14.978,1:14.813,1:14.917,1:14.882,1:14.900,1:15.108,1:15.138,1:15.133,1:15.061,1:15.228,1:14.917,1:15.062,1:15.059,1:15.138,1:15.177,1:15.446,1:15.331,1:15.632,1:15.938,1:18.594,1:32.574,1:14.223,1:14.257,1:14.607,1:15.352,1:14.393,1:14.683,1:15.222,1:16.362,1:15.134,1:14.886,1:14.794,1:14.468,1:15.001,1:14.715,1:14.029,1:14.212,1:13.921,1:16.990,1:31.271,1:13.524,1:13.480,1:14.494,1:13.832,1:13.925,1:13.676,1:13.706,1:13.670,1:13.445,1:13.705,1:13.999,1:13.725,1:14.496,1:14.865,1:13.765,1:13.466,1:13.716,1:13.631,1:13.275,1:13.392,1:13.687,1:13.891,1:13.916,1:13.608,1:13.539,1:14.698,1:14.475,1:14.230,1:13.547,1:14.050,1:14.756
mazepin,1:29.556,1:19.826,1:19.416,1:18.921,1:18.453,1:18.665,1:18.251,1:18.196,1:18.398,1:18.485,1:18.518,1:18.552,1:19.940,1:18.487,1:19.124,1:18.397,1:18.156,1:18.107,1:19.186,1:18.023,1:17.952,1:17.680,1:17.845,1:20.891,1:21.085,1:17.661,1:17.605,1:17.820,1:17.830,1:19.159,1:18.649,1:18.753,1:20.999,1:36.521,1:16.066,1:16.145,1:18.748,1:16.314,1:16.558,1:17.635,1:20.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
