Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
alonso,1:24.928,1:17.801,1:16.308,1:16.250,1:16.607,1:31.357,2:00.143,2:12.589,2:14.418,1:19.313,1:18.426,1:40.116,1:40.131,1:19.740,1:15.854,1:16.008,1:16.107,1:16.213,1:16.298,1:16.791,1:16.012,1:15.768,1:15.465,1:15.756,1:15.683,1:15.769,1:16.102,1:16.305,1:16.298,1:31.337,1:15.603,1:15.701,1:16.518,1:19.796,1:31.870,1:14.556,1:13.922,1:15.036,1:15.237,1:14.126,1:14.455,1:14.165,1:14.188,1:14.358,1:14.107,1:14.341,1:14.452,1:14.361,1:14.693,1:14.563,1:14.155,1:14.642,1:14.501,1:15.341,1:15.588,1:15.389,1:15.031,1:15.907,1:15.160,1:15.401,1:15.974,1:14.787,1:14.944,1:15.589,1:14.518,1:14.244,1:14.545,1:14.273,1:14.469,1:23.461,
bottas,1:20.541,1:15.297,1:14.954,1:14.837,1:17.488,1:28.275,1:58.619,2:12.300,2:25.925,1:16.919,1:15.000,1:34.450,1:40.026,1:24.224,1:14.489,1:14.322,1:15.097,1:15.231,1:15.404,1:15.670,1:15.067,1:15.409,1:15.139,1:15.021,1:15.019,1:15.146,1:15.242,1:15.334,1:14.672,1:27.036,1:31.638,1:13.002,1:13.583,1:13.085,1:13.358,1:13.553,1:13.511,1:13.530,1:13.584,1:13.661,1:17.563,1:30.597,1:12.862,1:12.966,1:13.201,1:13.063,1:13.177,1:13.441,1:12.526,1:13.410,1:13.214,1:13.074,1:12.967,1:13.151,1:12.955,1:13.421,1:12.972,1:12.931,1:13.285,1:12.830,1:12.888,1:13.585,1:13.383,1:14.047,1:13.346,1:13.622,1:13.427,1:13.877,1:13.163,1:13.371,1:13.454
gasly,1:24.052,1:16.434,1:15.989,1:15.758,1:16.073,1:30.645,1:58.617,2:12.584,2:19.155,1:18.600,1:16.279,1:37.341,1:41.325,1:20.272,1:15.758,1:15.557,1:15.744,1:15.169,1:15.401,1:15.397,1:15.780,1:15.824,1:15.659,1:16.066,1:19.470,1:31.872,1:14.297,1:15.349,1:15.605,1:30.142,1:15.245,1:15.095,1:14.608,1:14.563,1:14.349,1:14.327,1:14.631,1:14.410,1:14.494,1:14.449,1:14.859,1:14.839,1:14.709,1:14.858,1:14.844,1:14.730,1:14.713,1:14.694,1:14.844,1:14.832,1:18.440,1:30.637,1:13.227,1:13.848,1:14.461,1:15.518,1:14.969,1:16.110,1:14.804,1:15.041,1:14.104,1:14.669,1:14.926,1:13.676,1:13.667,1:13.718,1:13.699,1:13.584,1:13.569,1:14.069,
giovinazzi,1:25.903,1:18.237,1:17.833,1:17.165,1:16.468,1:32.522,1:58.559,2:12.340,2:11.787,1:19.865,1:18.214,1:40.651,1:39.830,1:19.962,1:16.116,1:16.111,1:15.831,1:16.133,1:16.170,1:16.667,1:16.831,1:16.874,1:15.957,1:16.290,1:16.384,1:16.382,1:16.473,1:18.919,1:21.778,1:45.612,1:14.480,1:14.830,1:15.182,1:15.090,1:15.461,1:15.459,1:15.803,1:16.252,1:16.815,1:16.477,1:17.588,1:19.553,1:33.866,1:14.227,1:14.377,1:16.280,1:15.226,1:15.655,1:15.063,1:14.840,1:14.936,1:14.836,1:15.128,1:14.927,1:14.831,1:14.615,1:14.980,1:14.690,1:14.767,1:14.917,1:15.037,1:14.580,1:15.075,1:15.212,1:15.574,1:15.813,1:16.952,1:15.434,1:15.242,1:15.479,
hamilton,1:23.099,1:15.675,1:14.254,1:14.307,1:14.172,1:27.601,1:59.617,2:11.737,2:27.627,1:15.980,1:14.607,1:34.983,1:39.738,1:24.357,1:14.337,1:14.534,1:14.747,1:15.716,1:14.300,1:14.424,1:14.533,1:14.531,1:14.775,1:15.124,1:14.976,1:18.676,1:29.802,1:13.364,1:13.162,1:24.312,1:19.397,1:13.225,1:13.291,1:13.491,1:13.470,1:13.515,1:13.967,1:13.395,1:13.466,1:13.584,1:13.577,1:13.394,1:17.413,1:29.598,1:12.135,1:11.982,1:12.384,1:14.577,1:12.719,1:12.559,1:12.971,1:12.486,1:12.650,1:12.832,1:12.563,1:12.424,1:12.387,1:13.400,1:12.379,1:12.581,1:12.869,1:13.290,1:13.190,1:12.834,1:12.947,1:13.174,1:13.233,1:13.416,1:13.557,1:13.602,1:13.860
latifi,1:28.273,1:18.529,1:17.689,1:17.665,1:17.300,1:34.458,1:56.494,2:13.925,2:07.018,1:22.102,1:18.857,1:41.761,1:44.340,1:33.034,1:15.784,1:15.723,1:16.004,1:15.838,1:15.856,1:15.983,1:16.285,1:16.229,1:16.231,1:15.998,1:16.150,1:16.665,1:18.177,1:17.845,1:17.124,1:32.763,1:16.587,1:16.319,1:17.047,1:16.264,1:16.529,1:16.294,1:16.225,1:16.309,1:20.044,1:34.440,1:15.279,1:17.852,1:16.349,1:16.775,1:15.630,1:15.218,1:14.874,1:15.013,1:14.904,1:14.887,1:14.717,1:14.820,1:14.834,1:14.695,1:14.785,1:14.814,1:14.616,1:14.700,1:14.759,1:16.063,1:16.232,1:14.793,1:14.696,1:14.797,1:15.045,1:14.881,1:14.741,1:14.710,1:14.868,1:15.158,
leclerc,1:21.519,1:15.906,1:15.751,1:16.426,1:15.764,1:27.896,1:58.517,2:12.431,2:24.186,1:17.650,1:15.741,1:35.677,1:39.442,1:23.844,1:15.172,1:15.159,1:15.164,1:15.439,1:15.356,1:15.679,1:15.448,1:15.447,1:15.289,1:15.592,1:15.695,1:15.465,1:19.370,1:31.496,1:14.688,1:30.364,1:14.957,1:14.497,1:14.620,1:14.328,1:14.062,1:14.006,1:14.043,1:13.989,1:14.166,1:14.156,1:14.266,1:14.211,1:14.847,1:14.265,1:15.093,1:14.596,1:14.766,1:14.622,1:14.471,1:15.068,1:14.815,1:18.290,1:31.351,1:13.486,1:12.924,1:13.002,1:13.037,1:13.080,1:13.075,1:13.071,1:12.822,1:12.973,1:12.996,1:12.881,1:13.053,1:13.219,1:13.641,1:13.149,1:13.330,1:13.191,1:14.380
max_verstappen,1:18.399,1:14.680,1:14.471,1:14.713,1:14.660,1:27.488,1:59.850,2:13.610,2:29.633,1:14.805,1:14.577,1:33.704,1:40.040,1:24.966,1:14.364,1:14.314,1:14.324,1:14.516,1:14.468,1:14.383,1:14.744,1:14.580,1:14.774,1:14.842,1:15.061,1:14.911,1:18.696,1:30.413,1:13.501,1:24.575,1:19.408,1:13.155,1:13.140,1:13.391,1:13.434,1:13.578,1:13.838,1:13.475,1:13.693,1:17.355,1:29.979,1:12.959,1:13.261,1:12.963,1:12.977,1:12.714,1:12.486,1:14.042,1:12.833,1:12.839,1:12.668,1:12.774,1:12.686,1:12.502,1:12.491,1:12.552,1:12.747,1:13.414,1:14.068,1:13.334,1:13.365,1:13.796,1:13.482,1:13.837,1:13.659,1:14.285,1:13.958,1:14.425,1:14.389,1:14.407,1:14.926
mazepin,1:27.015,1:18.763,1:17.425,1:17.402,1:17.188,1:33.587,1:56.967,2:14.063,2:08.696,1:20.017,1:18.825,1:40.572,1:39.975,1:20.152,1:16.733,1:18.129,1:17.027,1:18.208,1:18.218,1:18.795,1:17.947,1:17.620,1:17.466,1:17.613,1:17.612,1:17.714,1:17.664,1:17.329,1:18.429,1:32.873,1:18.565,1:18.097,1:17.984,1:22.435,1:35.011,1:14.954,1:15.104,1:15.408,1:15.753,1:17.868,1:15.942,1:17.886,1:15.953,1:17.496,1:17.076,1:16.277,1:15.872,1:15.841,1:15.529,1:15.284,1:15.549,1:16.876,1:15.669,1:18.333,1:17.994,1:16.001,1:15.738,1:15.766,1:18.403,1:15.582,1:15.391,1:15.450,1:19.831,1:16.033,1:17.175,1:15.757,1:16.714,1:15.642,1:15.806,,
mick_schumacher,1:26.538,1:18.977,1:18.364,1:17.762,1:17.343,1:33.537,1:56.659,2:14.141,2:07.865,1:20.630,1:49.493,2:09.687,1:29.680,1:14.891,1:15.273,1:15.857,1:16.125,1:16.494,1:16.316,1:16.593,1:16.267,1:16.468,1:18.361,1:18.747,1:20.681,1:17.051,1:16.488,1:16.488,1:33.043,1:40.958,1:16.779,1:16.293,1:17.768,1:16.220,1:15.985,1:17.407,1:17.188,1:16.630,1:15.834,1:15.695,1:15.694,1:15.216,1:15.427,1:15.689,1:15.751,1:15.576,1:15.420,1:15.332,1:15.411,1:16.641,1:16.480,1:18.597,1:15.905,1:16.095,1:19.610,1:16.405,1:18.181,1:16.658,1:16.434,1:16.606,1:21.146,1:34.865,1:14.061,1:14.068,1:14.182,1:13.793,1:14.573,1:14.643,1:14.390,,
