Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50
alonso,1:43.891,1:36.375,1:36.275,1:35.464,1:35.748,1:35.849,1:36.974,1:37.134,1:35.601,2:10.761,2:46.293,2:43.853,3:08.223,20:01.043,3:25.227,21:44.158,2:09.426,1:37.425,1:35.602,1:35.325,1:35.306,1:34.145,1:57.640,1:47.176,1:47.635,1:35.879,1:52.289,1:34.184,2:06.437,2:06.321,2:07.020,1:49.941,1:33.813,1:33.954,1:49.736,1:33.673,1:33.770,1:33.652,1:34.054,1:33.693,1:34.246,1:34.117,1:34.417,1:37.519,1:52.878,1:31.633,1:33.400,1:35.982,1:33.542,
bottas,1:36.272,1:34.048,1:34.138,1:33.585,1:33.676,1:33.465,1:33.639,1:33.655,1:33.701,2:07.440,2:53.975,2:47.772,2:56.937,19:53.967,3:38.147,21:43.872,2:28.734,1:34.794,1:34.141,1:33.489,1:33.908,1:33.288,1:47.025,1:52.013,1:33.299,1:34.453,1:42.212,1:37.370,1:53.111,2:06.597,2:06.933,2:06.307,1:33.124,1:32.602,1:39.304,1:37.318,1:33.439,1:33.522,1:34.887,1:32.726,1:32.108,1:31.825,1:31.677,1:31.593,1:31.734,1:31.797,1:31.408,1:32.505,1:32.470,1:32.647
gasly,1:41.926,1:36.492,1:35.872,1:35.490,1:35.431,1:35.276,1:35.806,1:36.809,1:35.257,2:04.284,2:43.696,2:46.749,2:59.573,19:56.151,3:27.223,21:46.156,2:25.672,1:35.689,1:34.498,1:34.262,1:34.087,1:34.132,1:48.505,1:50.008,1:34.188,1:33.957,1:43.051,1:38.034,1:54.524,2:07.164,2:07.307,2:05.168,1:34.340,1:33.488,1:41.734,1:36.762,1:32.881,1:33.204,1:32.765,1:32.820,1:32.822,1:32.549,1:32.858,1:32.467,1:32.383,1:32.297,1:32.423,1:32.511,1:32.982,1:33.008
giovinazzi,1:43.867,1:37.348,1:35.939,1:35.637,1:35.444,1:35.811,1:36.069,1:35.474,1:35.673,2:07.135,2:41.962,2:45.622,3:02.130,19:57.442,3:25.815,21:44.901,2:22.680,1:35.474,1:34.910,1:34.262,1:34.316,1:34.316,1:49.974,1:49.615,1:33.648,1:34.260,1:45.850,1:37.857,1:56.632,2:06.539,2:07.199,2:05.121,1:33.769,1:33.357,1:44.409,1:35.920,1:32.865,1:34.255,1:34.318,1:33.375,1:33.137,1:33.133,1:33.231,1:33.312,1:33.348,1:33.269,1:33.347,1:32.885,1:33.167,1:33.604
hamilton,1:35.234,1:34.020,1:33.782,1:33.792,1:33.397,1:33.260,1:33.720,1:33.214,1:33.150,2:02.043,3:00.569,2:48.065,2:55.505,19:54.857,3:34.902,21:37.704,2:37.547,1:33.056,1:32.974,1:32.532,1:32.130,1:32.674,1:40.670,1:56.641,1:31.502,1:31.809,1:32.669,1:44.229,1:43.184,2:07.028,2:07.402,2:06.321,1:37.237,1:31.411,1:31.199,1:43.095,1:37.056,1:32.069,1:31.549,1:31.536,1:31.089,1:31.964,1:31.896,1:31.338,1:30.854,1:31.610,1:30.734,1:31.588,1:33.707,1:35.604
latifi,1:47.622,1:40.248,1:37.640,1:37.821,1:37.461,1:36.869,1:36.466,1:36.115,1:43.300,2:06.447,2:38.468,2:44.949,3:25.747,19:46.542,3:16.490,21:46.135,2:05.773,1:37.314,1:37.025,1:35.474,1:35.424,1:34.923,1:56.207,1:46.615,1:36.996,1:36.619,1:51.958,1:34.667,2:03.337,2:06.275,2:07.087,1:54.422,1:34.183,1:33.597,1:50.752,1:33.916,1:33.631,1:34.030,1:33.618,1:33.824,1:33.422,1:33.291,1:33.399,1:33.396,1:33.282,1:33.341,1:33.373,1:33.042,1:32.751,1:33.083
leclerc,1:38.491,1:35.006,1:34.497,1:34.414,1:34.150,1:34.186,1:34.155,1:33.976,1:33.963,2:05.296,2:54.515,2:48.391,2:59.190,19:54.398,3:33.042,21:47.153,2:25.319,1:36.483,1:35.072,1:34.841,1:34.571,1:34.605,1:53.316,1:53.089,1:33.642,1:33.086,1:47.933,1:34.874,1:59.441,2:07.797,2:07.664,1:58.029,1:32.704,1:32.257,1:46.036,1:33.209,1:32.066,1:32.745,1:32.028,1:32.145,1:31.883,1:32.094,1:32.395,1:31.710,1:31.745,1:31.601,1:32.251,1:32.716,1:31.992,1:33.431
max_verstappen,1:36.916,1:34.338,1:34.383,1:33.654,1:33.723,1:33.678,1:33.600,1:33.603,1:33.573,2:04.230,2:52.037,2:47.282,2:54.881,19:50.175,3:37.106,21:47.869,2:32.203,1:33.425,1:32.712,1:32.764,1:32.488,1:32.204,1:38.474,1:58.848,1:31.785,1:32.179,1:31.883,1:44.699,1:41.727,2:07.686,2:08.261,2:04.976,1:38.172,1:31.491,1:31.488,1:43.722,1:35.677,1:31.683,1:31.556,1:31.567,1:31.584,1:33.091,1:33.003,1:32.706,1:32.743,1:32.313,1:32.766,1:32.829,1:34.158,1:34.032
mazepin,1:48.604,1:40.056,1:38.699,1:37.631,1:37.228,1:37.671,1:37.043,1:37.558,1:49.829,2:02.903,2:26.740,2:43.497,3:10.385,19:57.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mick_schumacher,1:47.170,1:40.173,1:37.879,1:37.254,1:36.539,1:36.364,1:36.922,1:36.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
