Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58
alonso,1:38.679,1:32.422,1:31.511,1:31.321,1:31.339,1:30.920,1:30.811,1:31.052,1:30.990,1:30.989,1:30.577,1:30.535,1:30.488,1:30.842,1:30.817,1:30.648,1:30.930,1:30.574,1:30.331,1:30.024,1:29.633,1:29.899,1:29.593,1:29.667,1:29.527,1:29.527,1:29.379,1:29.312,1:29.074,1:29.378,1:29.314,1:29.165,1:29.130,1:28.931,1:30.285,1:57.817,1:56.240,1:30.132,1:28.811,1:29.256,1:30.486,1:29.430,1:28.946,1:29.070,1:29.019,1:28.762,1:29.126,1:29.827,1:28.564,1:29.325,1:28.424,1:42.295,2:13.583,2:32.020,2:25.226,1:59.466,1:28.007,1:27.607
bottas,1:37.280,1:31.738,1:30.683,1:30.997,1:30.644,1:30.639,1:30.195,1:30.533,1:30.515,1:30.704,1:30.592,1:30.252,1:30.079,1:30.595,1:31.079,1:29.754,1:29.692,1:29.478,1:29.652,1:29.620,1:29.647,1:29.559,1:29.984,1:29.097,1:28.871,1:29.636,1:28.927,1:29.131,1:29.204,1:30.944,1:50.242,1:28.776,1:28.961,1:27.918,1:33.907,1:54.468,1:41.441,1:27.886,1:27.960,1:28.481,1:28.224,1:28.360,1:28.327,1:28.270,1:27.839,1:28.039,1:27.849,1:28.527,1:27.239,1:27.130,1:26.862,1:28.154,1:58.324,1:55.892,1:47.158,2:19.183,2:19.191,1:30.479
gasly,1:39.330,1:32.814,1:31.533,1:31.439,1:31.367,1:30.786,1:30.757,1:31.135,1:31.365,1:30.880,1:30.726,1:30.547,1:30.408,1:30.641,1:30.686,1:30.629,1:30.744,1:30.725,1:30.475,1:29.954,1:29.652,1:29.757,1:29.607,1:29.646,1:30.146,1:29.448,1:29.606,1:29.307,1:29.130,1:29.177,1:29.301,1:29.076,1:29.165,1:28.998,1:32.681,1:54.650,1:56.705,1:29.559,1:29.017,1:29.012,1:28.385,1:28.454,1:28.090,1:28.071,1:27.870,1:27.726,1:27.699,1:27.567,1:27.342,1:27.424,1:27.442,1:35.375,1:53.281,1:50.389,2:00.394,2:02.485,2:16.957,1:28.344
giovinazzi,1:39.822,1:33.170,1:31.837,1:31.553,1:31.597,1:31.313,1:30.707,1:31.022,1:31.039,1:31.035,1:30.746,1:30.868,1:30.853,1:30.546,1:30.550,1:30.682,1:32.432,1:51.395,1:29.556,1:30.001,1:30.180,1:30.137,1:30.346,1:31.109,1:29.792,1:30.004,1:29.712,1:30.282,1:29.694,1:29.775,1:29.505,1:29.596,1:29.442,,,,,,,,,,,,,,,,,,,,,,,,,
hamilton,1:31.686,1:28.791,1:28.587,1:28.789,1:28.630,1:28.593,1:28.550,1:28.585,1:28.356,1:28.216,1:28.134,1:28.566,1:28.258,1:30.253,1:48.755,1:27.833,1:27.780,1:27.889,1:28.232,1:33.443,1:30.485,1:28.006,1:27.663,1:27.979,1:27.870,1:28.077,1:27.975,1:28.143,1:27.484,1:27.508,1:27.495,1:27.444,1:27.742,1:27.201,1:27.591,1:41.467,1:56.216,1:30.157,1:26.762,1:27.387,1:26.718,1:26.782,1:26.615,1:27.020,1:26.966,1:27.270,1:27.683,1:27.553,1:26.875,1:26.784,1:26.934,1:26.833,1:38.574,2:22.911,2:32.083,2:25.761,2:28.331,1:29.330
latifi,1:41.174,1:34.545,1:33.236,1:32.304,1:31.755,1:32.003,1:31.378,1:31.795,1:31.704,1:31.389,1:31.511,1:30.971,1:31.078,1:30.932,1:31.134,1:31.047,1:31.891,1:30.912,1:30.884,1:32.317,1:30.886,1:32.122,1:30.803,1:30.935,1:31.055,1:31.067,1:32.497,1:34.166,1:49.780,1:29.293,1:29.393,1:29.431,1:29.542,1:29.530,1:47.576,1:53.570,1:31.298,1:29.844,1:29.897,1:29.627,1:29.676,1:29.542,1:29.337,1:29.824,1:30.962,1:29.995,1:30.134,1:30.648,1:29.349,1:29.752,,,,,,,,
leclerc,1:36.143,1:31.140,1:30.910,1:30.509,1:30.630,1:30.586,1:30.320,1:30.372,1:30.104,1:30.268,1:29.996,1:30.381,1:30.323,1:32.050,1:33.881,1:50.853,1:29.408,1:29.283,1:29.641,1:29.493,1:29.563,1:29.588,1:29.379,1:29.104,1:29.416,1:29.442,1:29.215,1:29.254,1:29.255,1:29.093,1:29.381,1:28.823,1:29.148,1:30.050,1:36.558,2:08.653,1:37.309,1:28.725,1:28.907,1:28.433,1:28.338,1:28.729,1:28.954,1:29.171,1:30.335,1:28.982,1:28.974,1:28.638,1:29.170,1:28.952,1:29.998,1:42.248,2:10.799,2:31.687,2:26.191,1:58.448,1:28.644,1:29.557
max_verstappen,1:32.800,1:29.103,1:28.827,1:29.026,1:28.718,1:28.707,1:28.636,1:28.817,1:28.671,1:28.890,1:29.137,1:29.282,1:31.515,1:47.251,1:28.492,1:29.006,1:29.108,1:28.502,1:28.713,1:28.387,1:28.569,1:28.322,1:28.175,1:28.179,1:28.041,1:28.600,1:28.348,1:27.935,1:27.904,1:27.678,1:27.917,1:27.913,1:27.581,1:27.783,1:27.761,1:43.598,2:08.605,1:26.321,1:26.103,1:26.552,1:26.301,1:26.463,1:26.437,1:26.808,1:26.768,1:27.048,1:26.656,1:26.554,1:26.657,1:26.748,1:27.048,1:27.559,1:42.072,2:15.373,2:30.435,2:26.432,2:21.895,1:26.618
mick_schumacher,1:42.098,1:34.049,1:33.612,1:32.407,1:31.634,1:32.041,1:31.681,1:32.228,1:31.755,1:33.378,1:50.461,1:30.122,1:30.231,1:30.727,1:30.687,1:30.458,1:30.581,1:30.736,1:30.983,1:30.586,1:30.950,1:30.884,1:30.946,1:30.520,1:30.266,1:30.969,1:30.904,1:30.726,1:30.524,1:32.165,1:32.290,1:30.218,1:30.038,1:30.006,1:46.601,1:55.120,1:32.144,1:29.580,1:29.740,1:29.767,1:29.654,1:29.457,1:29.552,1:29.929,1:31.055,1:30.250,1:30.200,1:29.751,1:29.762,1:29.962,1:30.614,1:56.602,2:11.605,1:44.080,2:18.615,2:19.025,1:31.021,
norris,1:35.658,1:30.963,1:30.765,1:30.355,1:30.501,1:30.555,1:30.312,1:30.287,1:30.156,1:30.243,1:30.091,1:30.085,1:30.583,1:30.775,1:30.348,1:30.106,1:32.251,1:50.162,1:30.364,1:29.439,1:29.907,1:29.206,1:29.446,1:29.295,1:29.272,1:29.352,1:29.183,1:29.164,1:29.208,1:29.095,1:29.137,1:29.091,1:28.826,1:28.801,1:33.466,1:55.172,1:41.894,1:28.467,1:28.430,1:28.446,1:28.289,1:28.388,1:28.178,1:28.148,1:28.008,1:28.059,1:27.953,1:29.996,1:48.028,1:26.847,1:27.227,1:34.458,2:23.485,2:32.140,2:25.212,1:59.050,1:27.460,1:26.762
