Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71,Lap 72,Lap 73,Lap 74,Lap 75,Lap 76,Lap 77,Lap 78
alonso,1:34.069,1:21.498,1:20.548,1:20.121,1:19.757,1:18.825,1:18.738,1:18.254,1:18.904,1:18.147,1:18.778,1:18.414,1:17.807,1:17.529,1:17.803,1:17.840,1:17.414,1:17.636,1:17.810,1:17.648,1:17.823,1:17.805,1:17.864,1:17.891,1:17.244,1:17.808,1:17.414,1:17.189,1:16.897,1:17.425,1:17.473,1:17.985,1:17.090,1:18.695,1:17.241,1:17.288,1:17.172,1:17.286,1:17.102,1:17.263,1:17.267,1:17.446,1:17.602,1:18.384,1:34.415,1:20.632,1:15.120,1:20.318,1:16.757,1:16.997,1:16.727,1:16.309,1:16.557,1:15.783,1:15.954,1:15.982,1:16.071,1:16.028,1:15.890,1:15.909,1:16.007,1:15.461,1:15.868,1:16.157,1:15.536,1:16.195,1:15.318,1:15.213,1:15.667,1:15.026,1:15.226,1:15.422,1:16.111,1:16.095,1:16.601,1:16.696,1:17.070,
bottas,1:23.015,1:17.613,1:17.329,1:17.154,1:17.236,1:16.863,1:17.082,1:16.751,1:16.961,1:17.012,1:16.575,1:16.540,1:16.040,1:16.028,1:15.974,1:16.275,1:15.914,1:15.706,1:15.908,1:16.335,1:16.600,1:16.471,1:16.641,1:17.198,1:16.543,1:16.687,1:16.247,1:16.034,1:16.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasly,1:26.902,1:18.737,1:17.821,1:18.060,1:17.909,1:17.393,1:17.204,1:16.838,1:17.055,1:17.182,1:16.798,1:16.414,1:16.897,1:16.331,1:16.128,1:16.138,1:16.058,1:16.151,1:17.309,1:16.087,1:15.925,1:16.055,1:16.355,1:16.060,1:17.135,1:16.576,1:17.134,1:16.701,1:16.723,1:33.589,1:21.727,1:18.950,1:16.459,1:16.292,1:15.894,1:16.031,1:16.467,1:16.874,1:16.708,1:16.226,1:16.713,1:16.205,1:16.757,1:16.104,1:16.357,1:16.318,1:16.320,1:16.358,1:15.906,1:15.809,1:16.128,1:16.122,1:16.126,1:16.603,1:16.398,1:16.316,1:15.732,1:15.896,1:15.921,1:15.861,1:15.657,1:15.458,1:15.687,1:15.845,1:15.882,1:15.761,1:15.646,1:16.034,1:15.514,1:15.611,1:15.412,1:15.646,1:15.974,1:15.888,1:15.763,1:15.691,1:15.884,1:16.120
giovinazzi,1:30.113,1:19.695,1:19.070,1:18.340,1:18.636,1:18.640,1:18.244,1:17.977,1:18.402,1:17.873,1:17.363,1:17.088,1:17.175,1:16.860,1:16.974,1:17.037,1:16.540,1:16.727,1:16.588,1:16.468,1:16.718,1:16.758,1:16.853,1:17.263,1:16.826,1:17.056,1:17.136,1:17.500,1:18.045,1:18.318,1:18.689,1:18.673,1:35.523,1:20.718,1:15.673,1:16.866,1:16.038,1:17.113,1:16.448,1:16.013,1:15.331,1:15.402,1:15.569,1:15.707,1:15.865,1:16.179,1:16.444,1:16.712,1:16.736,1:16.577,1:16.524,1:16.466,1:16.688,1:16.647,1:16.394,1:16.482,1:16.710,1:17.878,1:18.885,1:19.997,1:17.788,1:17.774,1:17.748,1:17.436,1:19.182,1:19.104,1:17.354,1:17.200,1:17.193,1:16.833,1:16.751,1:17.056,1:16.951,1:16.880,1:16.744,1:16.829,1:17.269,
hamilton,1:27.982,1:18.742,1:18.240,1:17.936,1:18.221,1:17.448,1:17.205,1:17.009,1:16.779,1:16.869,1:16.698,1:16.667,1:17.070,1:16.555,1:16.262,1:16.152,1:16.033,1:15.854,1:16.485,1:16.800,1:16.395,1:16.017,1:16.096,1:16.343,1:16.636,1:16.497,1:16.622,1:17.044,1:33.051,1:18.739,1:19.326,1:18.966,1:17.702,1:16.420,1:15.929,1:16.036,1:16.621,1:16.209,1:16.392,1:16.542,1:16.349,1:16.964,1:17.853,1:16.793,1:15.903,1:15.720,1:15.277,1:16.717,1:16.328,1:16.216,1:16.266,1:16.129,1:15.641,1:15.894,1:15.953,1:16.148,1:16.877,1:16.241,1:16.006,1:16.013,1:15.858,1:15.926,1:15.404,1:16.498,1:15.684,1:15.261,1:31.810,1:17.137,1:12.909,1:13.382,1:14.433,1:15.081,1:15.080,1:15.323,1:16.795,1:14.539,1:16.050,1:18.003
latifi,1:36.040,1:21.526,1:20.126,1:20.175,1:19.516,1:19.611,1:18.950,1:18.494,1:18.804,1:18.717,1:18.558,1:18.874,1:18.998,1:17.617,1:18.328,1:18.433,1:18.460,1:18.299,1:17.966,1:18.132,1:18.305,1:18.373,1:18.035,1:18.051,1:18.140,1:18.014,1:17.989,1:18.447,1:20.750,1:19.026,1:20.096,1:17.363,1:16.967,1:16.800,1:16.692,1:17.150,1:17.912,1:17.978,1:19.567,1:19.063,1:17.323,1:19.846,1:34.200,1:21.902,1:16.122,1:15.889,1:16.286,1:16.007,1:16.355,1:15.942,1:15.867,1:16.080,1:16.146,1:16.009,1:15.703,1:17.179,1:16.863,1:16.441,1:16.039,1:16.058,1:15.820,1:15.652,1:15.921,1:15.968,1:16.173,1:15.573,1:15.984,1:16.006,1:16.048,1:15.961,1:16.211,1:18.702,1:16.068,1:16.758,1:16.815,1:16.698,1:16.748,
max_verstappen,1:21.986,1:17.480,1:17.298,1:17.237,1:16.892,1:17.147,1:16.722,1:17.120,1:16.910,1:16.944,1:16.265,1:16.339,1:15.954,1:16.305,1:15.818,1:15.760,1:15.990,1:15.917,1:15.655,1:16.084,1:16.184,1:16.144,1:16.272,1:16.244,1:16.531,1:16.322,1:16.000,1:15.981,1:16.551,1:16.582,1:15.167,1:15.889,1:15.827,1:32.339,1:20.639,1:15.494,1:15.861,1:16.438,1:16.535,1:15.881,1:15.468,1:15.581,1:15.624,1:14.993,1:14.930,1:15.502,1:15.494,1:14.851,1:15.186,1:14.714,1:14.950,1:14.853,1:14.745,1:14.967,1:14.783,1:14.799,1:14.762,1:14.649,1:15.092,1:15.370,1:15.557,1:15.455,1:15.014,1:15.473,1:15.356,1:15.301,1:15.035,1:14.843,1:14.836,1:15.321,1:15.237,1:14.942,1:15.316,1:15.515,1:14.909,1:15.331,1:16.533,1:16.829
mazepin,1:38.076,1:21.965,1:20.730,1:19.805,1:19.598,1:19.839,1:19.535,1:19.281,1:18.932,1:18.872,1:19.018,1:18.904,1:19.287,1:19.422,1:18.949,1:18.804,1:19.249,1:19.163,1:18.674,1:18.862,1:19.110,1:20.825,1:22.077,1:24.946,1:22.756,1:19.064,1:18.695,1:19.503,1:19.289,1:22.719,1:23.783,1:19.230,1:19.038,1:36.881,1:22.270,1:18.661,1:17.773,1:17.976,1:21.209,1:20.120,1:20.018,1:20.555,1:22.757,1:21.445,1:23.941,1:22.519,1:17.651,1:17.407,1:17.221,1:16.917,1:16.883,1:16.919,1:16.901,1:16.899,1:17.089,1:17.638,1:17.517,1:17.890,1:21.993,1:17.499,1:19.733,1:17.422,1:16.868,1:16.866,1:17.046,1:17.107,1:17.105,1:20.632,1:17.133,1:17.303,1:17.632,1:17.276,1:17.252,1:17.786,1:17.153,,,
mick_schumacher,1:37.443,1:22.045,1:20.586,1:19.930,1:19.362,1:19.782,1:19.247,1:19.041,1:19.004,1:18.672,1:18.575,1:18.674,1:18.992,1:18.579,1:18.294,1:18.751,1:18.580,1:18.621,1:18.909,1:18.533,1:18.533,1:18.759,1:18.495,1:20.781,1:22.457,1:23.437,1:29.167,1:27.965,1:31.596,1:23.951,1:26.779,1:20.091,1:17.770,1:17.438,1:19.106,1:18.665,1:35.956,1:26.398,1:24.818,1:21.030,1:17.591,1:16.814,1:17.825,1:17.867,1:17.852,1:17.289,1:17.434,1:17.682,1:16.940,1:16.520,1:16.425,1:16.805,1:16.767,1:16.564,1:16.624,1:17.182,1:17.915,1:19.485,1:17.713,1:19.102,1:18.282,1:17.745,1:17.133,1:17.375,1:17.779,1:21.412,1:17.582,1:16.719,1:16.763,1:16.847,1:16.778,1:16.837,1:17.064,1:17.162,1:17.633,,,
norris,1:25.729,1:18.426,1:17.634,1:17.772,1:17.864,1:17.048,1:17.195,1:16.655,1:17.027,1:17.190,1:16.601,1:16.560,1:16.500,1:16.302,1:16.074,1:16.094,1:15.965,1:16.602,1:16.135,1:15.812,1:15.800,1:16.284,1:16.128,1:16.653,1:16.965,1:16.636,1:17.020,1:17.635,1:16.902,1:33.286,1:19.617,1:14.838,1:16.210,1:15.030,1:14.991,1:15.195,1:15.735,1:15.683,1:15.625,1:15.672,1:15.757,1:16.281,1:15.912,1:15.613,1:15.180,1:15.141,1:15.458,1:15.524,1:15.584,1:15.716,1:15.531,1:15.188,1:15.270,1:15.252,1:15.339,1:15.515,1:15.441,1:15.315,1:15.630,1:15.847,1:16.048,1:15.622,1:15.416,1:15.874,1:16.145,1:16.038,1:15.572,1:15.154,1:15.381,1:15.575,1:15.974,1:14.795,1:15.034,1:15.141,1:15.032,1:14.670,1:15.091,1:16.101
