Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51
alonso,1:57.109,1:50.062,1:48.760,1:48.662,1:48.448,1:48.932,1:54.515,2:05.508,1:48.046,1:49.436,1:49.303,1:48.142,1:48.233,1:48.362,1:48.101,1:48.945,1:48.420,1:48.131,1:48.250,1:47.835,1:47.927,1:47.669,1:47.528,1:47.225,1:47.344,1:47.613,1:48.973,1:47.235,1:47.202,1:56.935,2:27.250,2:27.200,2:46.667,2:44.922,2:51.110,1:54.090,1:49.079,1:46.996,1:46.314,1:46.649,1:46.344,1:45.624,1:46.035,1:46.276,1:47.271,1:46.730,2:18.391,3:01.400,36:24.868,2:25.010,1:45.715
bottas,1:59.467,1:50.418,1:49.315,1:49.208,1:48.222,1:48.335,1:48.877,1:48.418,1:48.134,1:48.326,1:52.171,2:04.342,1:47.664,1:47.352,1:47.023,1:46.626,1:46.612,1:46.253,1:46.172,1:46.610,1:47.358,1:47.513,1:47.736,1:46.903,1:46.770,1:46.336,1:46.385,1:46.064,1:46.175,1:48.298,2:32.239,2:39.292,2:51.985,2:47.055,2:55.425,1:56.702,1:48.988,1:48.389,1:47.724,1:46.432,1:46.362,1:45.976,1:45.665,1:45.817,1:46.196,1:48.552,2:18.072,3:06.921,36:31.323,2:12.714,1:46.762
gasly,1:55.240,1:49.031,1:49.207,1:47.938,1:47.643,1:47.915,1:47.705,1:47.396,1:47.410,1:47.098,1:51.282,2:04.046,1:47.362,1:47.880,1:46.929,1:47.048,1:47.607,1:47.353,1:46.751,1:46.923,1:46.675,1:46.781,1:46.625,1:47.113,1:46.957,1:46.735,1:46.801,1:46.585,1:46.362,1:46.856,2:18.563,2:50.373,2:55.300,2:50.608,3:01.625,1:51.912,1:48.223,1:46.332,1:46.032,1:45.380,1:45.486,1:45.266,1:45.669,1:45.220,1:45.442,1:45.449,2:13.442,3:06.822,36:26.612,2:32.574,1:45.588
giovinazzi,2:02.391,1:55.997,2:06.274,1:48.836,1:48.592,1:48.784,1:48.703,1:48.640,1:48.238,1:48.307,1:49.199,1:48.243,1:48.168,1:47.832,1:47.919,1:47.989,1:47.805,1:48.093,1:47.798,1:47.774,1:47.507,1:47.755,1:50.239,1:48.258,1:47.482,1:47.359,1:47.362,1:47.498,1:47.317,2:00.150,2:27.093,2:22.062,2:45.133,2:45.155,2:50.266,1:56.087,1:49.507,1:47.142,1:46.220,1:46.360,1:46.022,1:46.109,1:45.911,1:45.575,1:46.683,1:47.176,2:20.204,3:02.730,36:27.506,2:20.563,1:46.651
hamilton,1:52.533,1:49.236,1:48.060,1:47.462,1:47.642,1:47.394,1:47.056,1:47.084,1:47.399,1:47.441,1:51.218,2:06.683,1:46.600,1:46.670,1:46.913,1:45.675,1:46.145,1:45.763,1:46.229,1:45.910,1:45.814,1:46.116,1:46.379,1:46.283,1:45.620,1:46.044,1:46.346,1:46.101,1:45.846,1:45.592,2:18.410,3:04.722,2:55.025,2:52.744,3:03.419,1:50.101,1:46.514,1:45.215,1:46.020,1:45.019,1:45.027,1:45.258,1:44.769,1:44.779,1:44.857,1:45.104,2:15.406,3:07.588,36:24.844,2:48.918,1:51.085
latifi,2:04.905,1:52.208,1:50.685,1:49.947,1:49.472,1:49.469,1:49.322,1:49.254,1:54.357,2:08.706,1:48.547,1:48.609,1:48.413,1:48.134,1:48.536,1:48.063,1:47.868,1:47.940,1:47.754,1:48.020,1:47.604,1:47.690,1:47.480,1:47.954,1:47.796,1:47.636,1:47.560,1:47.649,1:47.623,2:08.490,2:24.259,2:12.845,2:43.145,2:37.327,2:50.669,1:57.301,1:49.570,1:48.667,1:48.612,1:47.680,1:47.546,1:46.608,1:47.098,1:47.077,1:46.745,1:51.373,2:16.549,2:53.070,36:50.714,1:56.912,1:47.331
leclerc,1:52.162,1:49.672,1:48.746,1:47.600,1:47.260,1:47.963,1:48.611,1:48.721,1:51.823,2:03.438,1:48.105,1:49.086,1:48.039,1:47.674,1:47.272,1:47.240,1:47.574,1:47.204,1:47.286,1:47.182,1:47.258,1:46.512,1:46.358,1:46.492,1:46.641,1:46.387,1:46.669,1:46.516,1:46.178,1:46.478,2:19.518,2:51.722,2:53.539,2:50.506,3:00.559,1:52.944,1:47.663,1:46.886,1:45.805,1:45.753,1:45.732,1:45.712,1:45.594,1:45.780,1:45.538,1:45.382,2:13.338,3:05.391,36:27.115,2:30.922,1:46.692
max_verstappen,1:53.236,1:49.550,1:48.040,1:47.826,1:47.107,1:47.548,1:47.218,1:47.149,1:47.125,1:47.295,1:47.327,1:50.389,2:02.951,1:46.192,1:46.385,1:45.741,1:45.920,1:46.101,1:45.897,1:45.966,1:45.705,1:45.775,1:45.676,1:45.456,1:45.415,1:45.352,1:45.452,1:45.550,1:45.394,1:45.653,2:12.177,3:17.279,2:55.319,2:52.599,3:05.197,1:47.649,1:45.752,1:45.326,1:45.125,1:44.805,1:44.861,1:45.186,1:44.929,1:44.481,1:44.488,,,,,,
mazepin,2:06.029,1:53.144,1:51.220,1:49.955,1:49.871,1:50.279,1:50.664,1:50.991,1:57.044,2:10.548,1:51.471,1:49.607,1:49.010,1:49.435,1:49.724,1:49.150,1:49.154,1:49.033,1:48.682,1:48.477,1:49.043,1:48.468,1:48.723,2:03.145,1:51.506,1:51.008,1:49.012,1:48.639,1:48.358,2:18.302,2:54.353,2:55.350,2:48.728,2:05.129,2:11.838,1:50.393,1:48.315,1:48.110,1:47.819,1:47.747,1:47.939,1:48.846,1:50.255,1:54.527,2:18.566,2:22.738,3:03.753,32:37.443,4:04.093,1:56.968,1:48.123
mick_schumacher,2:05.671,1:52.393,1:50.490,1:50.588,1:50.103,1:49.707,1:49.824,1:53.586,2:08.615,1:47.915,1:49.616,1:48.415,1:48.642,1:48.641,1:48.383,1:48.469,1:48.203,1:48.595,1:48.035,1:47.971,1:47.842,1:48.363,1:47.844,1:48.157,1:47.834,1:47.943,1:48.519,1:48.489,1:48.330,2:09.562,2:29.746,2:09.207,2:34.221,2:38.945,2:57.857,1:48.452,1:49.281,1:48.709,1:47.784,1:48.272,1:47.624,1:47.890,1:48.923,1:53.919,2:06.429,1:52.849,2:31.357,2:41.097,36:15.634,1:57.941,1:47.769
